level,branch,place,position,no,name,full_name,state,political_party,political_leaning,president,president_political_party,start_date,end_date,birth_state,birth_date,impeached
federal,legislative,Senate,"Senator, Class 2",4,Dan Sullivan,,Alaska,,,,,,,,,
federal,legislative,Senate,"Senator, Class 3",1,Ernest Gruening,,Alaska,,,,,,,,,
federal,legislative,Senate,"Senator, Class 3",2,Mike Gravel,,Alaska,,,,,,,,,
federal,legislative,Senate,"Senator, Class 3",3,Frank Murkowski,,Alaska,,,,,,,,,
federal,legislative,Senate,"Senator, Class 3",4,Lisa Murkowski,,Alaska,,,,,,,,,
federal,legislative,Senate,"Senator, Class 1",1,Hiram Fong,,Hawaii,,,,,,,,,
federal,legislative,Senate,"Senator, Class 1",2,Spark Matsunaga,,Hawaii,,,,,,,,,
federal,legislative,Senate,"Senator, Class 1",3,Daniel Akaka,,Hawaii,,,,,,,,,
federal,legislative,Senate,"Senator, Class 1",4,Mazie Hirono,,Hawaii,,,,,,,,,
federal,legislative,Senate,"Senator, Class 3",1,Oren E. Long,,Hawaii,,,,,,,,,
federal,legislative,Senate,"Senator, Class 3",2,Daniel Inouye,,Hawaii,,,,,,,,,
federal,legislative,Senate,"Senator, Class 3",3,Brian Schatz,,Hawaii,,,,,,,,,
federal,executive,White House,President,1,George Washington,George Washington,Virginia,Independent,,,,1789-04-30,1797-03-04,Virginia,,
federal,executive,White House,President,2,John Adams,John Adams,Massachusetts,Federalist,,,,,,Massachusetts,,
federal,executive,White House,President,3,Thomas Jefferson,Thomas Jefferson,Virginia,Democratic-Republican,,,,,,Virginia,,
federal,executive,White House,President,4,James Madison,James Madison,Virginia,Democratic-Republican,,,,,,Virginia,,
federal,executive,White House,President,5,James Monroe,James Monroe,Virginia,Democratic-Republican,,,,,,Virginia,,
federal,executive,White House,President,6,John Quincy Adams,John Quincy Adams,Massachusetts,Democratic-Republican,,,,,,Massachusetts,,
federal,executive,White House,President,7,Andrew Jackson,Andrew Jackson,Tennessee,Democratic,,,,,,South Carolina,,
federal,executive,White House,President,8,Martin Van Buren,Martin Van Buren,New York,Democratic,,,,,,New York,,
federal,executive,White House,President,9,William Henry Harrison,William Henry Harrison,Ohio,Whig,,,,,,Virginia,,
federal,executive,White House,President,10,John Tyler,John Tyler,Virginia,Whig,,,,,,Virginia,,
federal,executive,White House,President,11,James K. Polk,James Knox Polk,Tennessee,Democratic,,,,,,North Carolina,,
federal,executive,White House,President,12,Zachary Taylor,Zachary Taylor,Kentucky,Whig,,,,,,Virginia,,
federal,executive,White House,President,13,Millard Fillmore,Millard Fillmore,New York,Whig,,,,,,New York,,
federal,executive,White House,President,14,Franklin Pierce,Franklin Pierce,New Hampshire,Democratic,,,,,,New Hampshire,,
federal,executive,White House,President,15,James Buchanan,James Buchanan Jr.,Pennsylvania,Democratic,,,,,,Pennsylvania,,
federal,executive,White House,President,16,Abraham Lincoln,Abraham Lincoln,Illinois,Republican,,,,,,Kentucky,,
federal,executive,White House,President,17,Andrew Johnson,Andrew Johnson,Tennessee,Democratic,,,,,,North Carolina,,true
federal,executive,White House,President,18,Ulysses S. Grant,Hiram Ulysses Grant,Illinois,Republican,,,,,,Ohio,,
federal,executive,White House,President,19,Rutherford B. Hayes,Rutherford Birchard Hayes,Ohio,Republican,,,,,,Ohio,,
federal,executive,White House,President,20,James A. Garfield,James Abram Garfield,Ohio,Republican,,,,,,Ohio,,
federal,executive,White House,President,21,Chester A. Arthur,Chester Alan Arthur,New York,Republican,,,,,,Vermont,,
federal,executive,White House,President,22,Grover Cleveland,Stephen Grover Cleveland,New York,Democratic,,,,,,New Jersey,,
federal,executive,White House,President,23,Benjamin Harrison,Benjamin Harrison,Indiana,Republican,,,,,,Ohio,,
federal,executive,White House,President,24,Grover Cleveland,Stephen Grover Cleveland,New York,Democratic,,,,,,New Jersey,,
federal,executive,White House,President,25,William McKinley,William McKinley,Ohio,Republican,,,,,,Ohio,,
federal,executive,White House,President,26,Theodore Roosevelt,Theodore Roosevelt Jr.,New York,Republican,,,,,,New York,,
federal,executive,White House,President,27,William Howard Taft,William Howard Taft,Ohio,Republican,,,,,,Ohio,,
federal,executive,White House,President,28,Woodrow Wilson,Thomas Woodrow Wilson,New Jersey,Democratic,,,,,,Virginia,,
federal,executive,White House,President,29,Warren G. Harding,Warren Gamaliel Harding,Ohio,Republican,,,,,,Ohio,,
federal,executive,White House,President,30,Calvin Coolidge,Calvin Coolidge,Massachusetts,Republican,,,,,,Vermont,,
federal,executive,White House,President,31,Herbert Hoover,Herbert Clark Hoover,California,Republican,,,,,,Iowa,,
federal,executive,White House,President,32,Franklin D. Roosevelt,Franklin Delano Roosevelt,New York,Democratic,,,,,,New York,,
federal,executive,White House,President,33,Harry S Truman,Harry S Truman,Missouri,Democratic,,,,,,Missouri,,
federal,executive,White House,President,34,Dwight D. Eisenhower,Dwight David Eisenhower,Kansas,Republican,,,,,,Texas,,
federal,executive,White House,President,35,John F. Kennedy,John Fitzgerald Kennedy,Massachusetts,Democratic,,,,,,Massachusetts,,
federal,executive,White House,President,36,Lyndon B. Johnson,Lyndon Baines Johnson,Texas,Democratic,,,,,,Texas,,
federal,executive,White House,President,37,Richard Nixon,Richard Milhous Nixon,California,Republican,,,,,,California,,
federal,executive,White House,President,38,Gerald Ford,Gerald Rudolph Ford Jr.,Michigan,Republican,,,,,,Nebraska,,
federal,executive,White House,President,39,Jimmy Carter,James Earl Carter Jr.,Georgia,Democratic,,,,,,Georgia,,
federal,executive,White House,President,40,Ronald Reagan,Ronald Wilson Reagan,California,Republican,,,,,,Illinois,,
federal,executive,White House,President,41,George H. W. Bush,George Herbert Walker Bush,Texas,Republican,,,,,,Massachusetts,,
federal,executive,White House,President,42,Bill Clinton,William Jefferson Clinton,Arkansas,Democratic,,,,,,Arkansas,,true
federal,executive,White House,President,43,George W. Bush,George Walker Bush,Texas,Republican,,,,,,Connecticut,,
federal,executive,White House,President,44,Barack Obama,Barack Hussein Obama II,Illinois,Democratic,,,,,,Hawaii,,
federal,executive,White House,President,45,Donald Trump,Donald John Trump,New York,Republican,,,,,,New York,,true
federal,executive,White House,President,46,Joe Biden,Joseph Robinette Biden Jr.,Delaware,Democratic,,,,,,Pennsylvania,,
federal,executive,White House,Vice President,1,John Adams,,,,,George Washington,,,,,,
federal,executive,White House,Vice President,2,Thomas Jefferson,,,,,John Adams,,,,,,
federal,executive,White House,Vice President,3,Aaron Burr,,,,,Thomas Jefferson,,,,,,
federal,executive,White House,Vice President,4,George Clinton,,,,,Thomas Jefferson / James Madison,,,,,,
federal,executive,White House,Vice President,5,Elbridge Gerry,,,,,James Madison,,,,,,
federal,executive,White House,Vice President,6,Daniel D. Tompkins,,,,,James Monroe,,,,,,
federal,executive,White House,Vice President,7,John C. Calhoun,,,,,John Quincy Adams / Andrew Jackson,,,,,,
federal,executive,White House,Vice President,8,Martin Van Buren,,,,,Andrew Jackson,,,,,,
federal,executive,White House,Vice President,9,Richard Mentor Johnson,,,,,Martin Van Buren,,,,,,
federal,executive,White House,Vice President,10,John Tyler,,,,,William Henry Harrison,,,,,,
federal,executive,White House,Vice President,11,George M. Dallas,,,,,James K. Polk,,,,,,
federal,executive,White House,Vice President,12,Millard Fillmore,,,,,Zachary Taylor,,,,,,
federal,executive,White House,Vice President,13,William R. King,,,,,Franklin Pierce,,,,,,
federal,executive,White House,Vice President,14,John C. Breckinridge,,,,,James Buchanan,,,,,,
federal,executive,White House,Vice President,15,Hannibal Hamlin,,,,,Abraham Lincoln,,,,,,
federal,executive,White House,Vice President,16,Andrew Johnson,,,,,Abraham Lincoln,,,,,,
federal,executive,White House,Vice President,17,Schuyler Colfax,,,,,Ulysses S. Grant,,,,,,
federal,executive,White House,Vice President,18,Henry Wilson,,,,,Ulysses S. Grant,,,,,,
federal,executive,White House,Vice President,19,William A. Wheeler,,,,,Rutherford B. Hayes,,,,,,
federal,executive,White House,Vice President,20,Chester A. Arthur,,,,,James A. Garfield,,,,,,
federal,executive,White House,Vice President,21,Thomas A. Hendricks,,,,,Grover Cleveland,,,,,,
federal,executive,White House,Vice President,22,Levi P. Morton,,,,,Benjamin Harrison,,,,,,
federal,executive,White House,Vice President,23,Adlai Stevenson I,,,,,Grover Cleveland,,,,,,
federal,executive,White House,Vice President,24,Garret Hobart,,,,,William McKinley,,,,,,
federal,executive,White House,Vice President,25,Theodore Roosevelt,,,,,William McKinley,,,,,,
federal,executive,White House,Vice President,26,Charles W. Fairbanks,,,,,Theodore Roosevelt,,,,,,
federal,executive,White House,Vice President,27,James S. Sherman,,,,,William Howard Taft,,,,,,
federal,executive,White House,Vice President,28,Thomas R. Marshall,,,,,Woodrow Wilson,,,,,,
federal,executive,White House,Vice President,29,Calvin Coolidge,,,,,Warren G. Harding,,,,,,
federal,executive,White House,Vice President,30,Charles G. Dawes,,,,,Calvin Coolidge,,,,,,
federal,executive,White House,Vice President,31,Charles Curtis,,,,,Herbert Hoover,,,,,,
federal,executive,White House,Vice President,32,John Nance Garner,,,,,Franklin D. Roosevelt,,,,,,
federal,executive,White House,Vice President,33,Henry A. Wallace,,,,,Franklin D. Roosevelt,,,,,,
federal,executive,White House,Vice President,34,Harry S. Truman,,,,,Franklin D. Roosevelt,,,,,,
federal,executive,White House,Vice President,35,Alben W. Barkley,,,,,Harry S Truman,,,,,,
federal,executive,White House,Vice President,36,Richard Nixon,,,,,Dwight D. Eisenhower,,,,,,
federal,executive,White House,Vice President,37,Lyndon B. Johnson,,,,,John F. Kennedy,,,,,,
federal,executive,White House,Vice President,38,Hubert Humphrey,,,,,Lyndon B. Johnson,,,,,,
federal,executive,White House,Vice President,39,Spiro Agnew,,,,,Richard Nixon,,,,,,
federal,executive,White House,Vice President,40,Gerald Ford,,,,,Richard Nixon,,,,,,
federal,executive,White House,Vice President,41,Nelson Rockefeller,,,,,Gerald Ford,,,,,,
federal,executive,White House,Vice President,42,Walter Mondale,,,,,Jimmy Carter,,,,,,
federal,executive,White House,Vice President,43,George H. W. Bush,,,,,Ronald Reagan,,,,,,
federal,executive,White House,Vice President,44,Dan Quayle,,,,,George H. W. Bush,,,,,,
federal,executive,White House,Vice President,45,Al Gore,,,,,Bill Clinton,,,,,,
federal,executive,White House,Vice President,46,Dick Cheney,,,,,George W. Bush,,,,,,
federal,executive,White House,Vice President,47,Joe Biden,,,,,Barack Obama,,,,,,
federal,executive,White House,Vice President,48,Mike Pence,,,,,Donald Trump,,,,,,
federal,executive,White House,Vice President,49,Kamala Harris,,,,,Joe Biden,,,,,,
federal,executive,White House,Chief of Staff,1,John Steelman,,,Democratic,,Harry S. Truman,Democratic,,,,,
federal,executive,White House,Chief of Staff,2,Sherman Adams,,,Republican,,Dwight D. Eisenhower,Republican,,,,,
federal,executive,White House,Chief of Staff,3,Wilton Persons,,,Republican,,Dwight D. Eisenhower,Republican,,,,,
federal,executive,White House,Chief of Staff,4,H. R. Haldeman,,,Republican,,Richard Nixon,Republican,,,,,
federal,executive,White House,Chief of Staff,5,Alexander Haig,,,Republican,,Richard Nixon,Republican,,,,,
federal,executive,White House,Chief of Staff,6,Donald Rumsfeld,,,Republican,,Gerald Ford,Republican,,,,,
federal,executive,White House,Chief of Staff,7,Dick Cheney,,,Republican,,Gerald Ford,Republican,,,,,
federal,executive,White House,Chief of Staff,8,Hamilton Jordan,,,Democratic,,Jimmy Carter,Democratic,,,,,
federal,executive,White House,Chief of Staff,9,Jack Watson,,,Democratic,,Jimmy Carter,Democratic,,,,,
federal,executive,White House,Chief of Staff,10,James Baker,,,Republican,,Ronald Reagan,Republican,,,,,
federal,executive,White House,Chief of Staff,11,Donald Regan,,,Republican,,Ronald Reagan,Republican,,,,,
federal,executive,White House,Chief of Staff,12,Howard Baker,,,Republican,,Ronald Reagan,Republican,,,,,
federal,executive,White House,Chief of Staff,13,Kenneth Duberstein,,,Republican,,Ronald Reagan,Republican,,,,,
federal,executive,White House,Chief of Staff,14,John Sununu,,,Republican,,George H. W. Bush,Republican,,,,,
federal,executive,White House,Chief of Staff,15,Samuel Skinner,,,Republican,,George H. W. Bush,Republican,,,,,
federal,executive,White House,Chief of Staff,16,James Baker,,,Republican,,George H. W. Bush,Republican,,,,,
federal,executive,White House,Chief of Staff,17,Mack McLarty,,,Democratic,,Bill Clinton,Democratic,,,,,
federal,executive,White House,Chief of Staff,18,Leon Panetta,,,Democratic,,Bill Clinton,Democratic,,,,,
federal,executive,White House,Chief of Staff,19,Erskine Bowles,,,Democratic,,Bill Clinton,Democratic,,,,,
federal,executive,White House,Chief of Staff,20,John Podesta,,,Democratic,,Bill Clinton,Democratic,,,,,
federal,executive,White House,Chief of Staff,21,Andrew Card,,,Republican,,George W. Bush,Republican,,,,,
federal,executive,White House,Chief of Staff,22,Joshua Bolten,,,Republican,,George W. Bush,Republican,,,,,
federal,executive,White House,Chief of Staff,23,Rahm Emanuel,,,Democratic,,Barack Obama,Democratic,,,,,
federal,executive,White House,Chief of Staff,24,Bill Daley,,,Democratic,,Barack Obama,Democratic,,,,,
federal,executive,White House,Chief of Staff,25,Jack Lew,,,Democratic,,Barack Obama,Democratic,,,,,
federal,executive,White House,Chief of Staff,26,Denis McDonough,,,Democratic,,Barack Obama,Democratic,,,,,
federal,executive,White House,Chief of Staff,27,Reince Priebus,,,Republican,,Donald Trump,Republican,,,,,
federal,executive,White House,Chief of Staff,28,John F. Kelly,,,Independent,,Donald Trump,Republican,,,,,
federal,executive,White House,Chief of Staff,29,Mark Meadows,,,Republican,,Donald Trump,Republican,,,,,
federal,executive,White House,Chief of Staff,30,Ron Klain,,,Democratic,,Joe Biden,Democratic,,,,,
federal,executive,White House,Chief of Staff,31,Jeff Zients,,,Democratic,,Joe Biden,Democratic,,,,,
federal,executive,Department of State,Secretary of State,1,Thomas Jefferson,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,2,Edmund Randolph,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,3,Timothy Pickering,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,4,John Marshall,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,5,James Madison,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,6,Robert Smith,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,7,James Monroe,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,8,John Quincy Adams,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,9,Henry Clay,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,10,Martin Van Buren,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,11,Edward Livingston,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,12,Louis McLane,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,13,John Forsyth,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,14,Daniel Webster,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,15,Abel P. Upshur,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,16,John C. Calhoun,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,17,James Buchanan,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,18,John M. Clayton,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,19,Daniel Webster,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,20,Edward Everett,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,21,William L. Marcy,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,22,Lewis Cass,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,23,Jeremiah S. Black,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,24,William H. Seward,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,25,Elihu B. Washburne,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,26,Hamilton Fish,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,27,William M. Evarts,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,28,James G. Blaine,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,29,Frederick Theodore Frelinghuysen,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,30,Thomas F. Bayard,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,31,James G. Blaine,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,32,John W. Foster,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,33,Walter Q. Gresham,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,34,Richard Olney,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,35,John Sherman,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,36,William R. Day,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,37,John Hay,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,38,Elihu Root,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,39,Robert Bacon,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,40,Philander C. Knox,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,41,William Jennings Bryan,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,42,Robert Lansing,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,43,Bainbridge Colby,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,44,Charles Evans Hughes,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,45,Frank B. Kellogg,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,46,Henry L. Stimson,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,47,Cordell Hull,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,48,Edward Stettinius Jr.,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,49,James F. Byrnes,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,50,George C. Marshall,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,51,Dean Acheson,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,52,John Foster Dulles,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,53,Christian Herter,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,54,Dean Rusk,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,55,William P. Rogers,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,56,Henry Kissinger,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,57,Cyrus Vance,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,58,Edmund Muskie,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,59,Alexander Haig,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,60,George Shultz,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,61,James Baker,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,62,Lawrence Eagleburger,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,63,Warren Christopher,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,64,Madeleine Albright,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,65,Colin Powell,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,66,Condoleezza Rice,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,67,Hillary Clinton,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,68,John Kerry,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,69,Rex Tillerson,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,70,Mike Pompeo,,,,,,,,,,,
federal,executive,Department of State,Secretary of State,71,Antony Blinken,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,1,John N. Irwin II,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,2,Kenneth Rush,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,3,Robert S. Ingersoll,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,4,Charles W. Robinson,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,5,Warren Christopher,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,6,William P. Clark Jr.,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,7,Walter J. Stoessel Jr.,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,8,Kenneth W. Dam,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,9,John C. Whitehead,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,10,Lawrence Eagleburger,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,11,Clifton R. Wharton Jr.,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,12,Strobe Talbott,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,13,Richard Armitage,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,14,Robert Zoellick,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,15,John Negroponte,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,16,James Steinberg,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,17,William J. Burns,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,18,Antony Blinken,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,19,John J. Sullivan,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,20,Stephen Biegun,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,21,Wendy Sherman,,,,,,,,,,,
federal,executive,Department of State,Deputy Secretary of State,22,Kurt M. Campbell,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,1,James Forrestal,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,2,Louis A. Johnson,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,3,George C. Marshall,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,4,Robert A. Lovett,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,5,Charles Erwin Wilson,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,6,Neil H. McElroy,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,7,Thomas S. Gates Jr.,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,8,Robert McNamara,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,9,Clark Clifford,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,10,Melvin R. Laird,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,11,Elliot Richardson,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,12,James R. Schlesinger,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,13,Donald Rumsfeld,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,14,Harold Brown,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,15,Caspar Weinberger,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,16,Frank Carlucci,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,17,Dick Cheney,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,18,Leslie Aspin,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,19,William Perry,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,20,William Cohen,,,,,,,,,,,
