symbol,name,security
COKE,Coca,Coca-Cola Bottling Co. Consolidated - Common Stock
COLB,"Columbia Banking System, Inc.","Columbia Banking System, Inc. - Common Stock"
COLL,"Collegium Pharmaceutical, Inc.","Collegium Pharmaceutical, Inc. - Common Stock"
COLM,Columbia Sportswear Company,Columbia Sportswear Company - Common Stock
COMM,"CommScope Holding Company, Inc.","CommScope Holding Company, Inc. - Common Stock"
COMT,iShares Commodities Select Strategy ETF,iShares Commodities Select Strategy ETF
CONE,CyrusOne Inc,CyrusOne Inc - Common Stock
CONN,"Conn's, Inc.","Conn's, Inc. - Common Stock"
COOL,"PolarityTE, Inc.","PolarityTE, Inc. - Common Stock"
CORE,Core,"Core-Mark Holding Company, Inc. - Common Stock"
CORI,"Corium International, Inc.","Corium International, Inc. - Common Stock"
CORT,Corcept Therapeutics Incorporated,Corcept Therapeutics Incorporated - Common Stock
CORV,Correvio Pharma Corp.,Correvio Pharma Corp. - Ordinary Shares (Canada)
COST,Costco Wholesale Corporation,Costco Wholesale Corporation - Common Stock
COUP,Coupa Software Incorporated,Coupa Software Incorporated - Common Stock
COWN,Cowen Inc.,Cowen Inc. - Class A Common Stock
COWNL,Cowen Inc.,Cowen Inc. - 7.75% Senior Notes due 2033
COWNZ,Cowen Inc.,Cowen Inc. - 7.35% Senior Notes Due 2027
CPAH,CounterPath Corporation,CounterPath Corporation - Common Stock
CPHC,Canterbury Park Holding Corporation,Canterbury Park Holding Corporation - Common Stock
CPIX,Cumberland Pharmaceuticals Inc.,Cumberland Pharmaceuticals Inc. - Common Stock
CPLP,Capital Product Partners L.P.,Capital Product Partners L.P. - common units representing limited partner interests
CPRT,"Copart, Inc.","Copart, Inc. - Common Stock"
CPRX,"Catalyst Pharmaceuticals, Inc.","Catalyst Pharmaceuticals, Inc. - Common Stock"
CPSH,CPS Technologies Corp.,CPS Technologies Corp. - Common Stock
CPSI,"Computer Programs and Systems, Inc.","Computer Programs and Systems, Inc. - Common Stock"
CPSS,"Consumer Portfolio Services, Inc.","Consumer Portfolio Services, Inc. - Common Stock"
CPST,Capstone Turbine Corporation,Capstone Turbine Corporation - Common Stock
CPTA,Capitala Finance Corp.,Capitala Finance Corp. - Common Stock
CPTAG,Capitala Finance Corp.,Capitala Finance Corp. - 5.75% Convertible Notes Due 2022
CPTAL,Capitala Finance Corp.,Capitala Finance Corp. - 6% Notes Due 2022
CRAI,"CRA International,Inc.","CRA International,Inc. - Common Stock"
CRAY,Cray Inc,Cray Inc - Common Stock
CRBP,"Corbus Pharmaceuticals Holdings, Inc.","Corbus Pharmaceuticals Holdings, Inc. - Common Stock"
CREE,"Cree, Inc.","Cree, Inc. - Common Stock"
CREG,China Recycling Energy Corporation,China Recycling Energy Corporation - Common Stock
CRESY,Cresud S.A.C.I.F. y A.,"Cresud S.A.C.I.F. y A. - American Depositary Shares, each representing ten shares of Common Stock"
CRIS,"Curis, Inc.","Curis, Inc. - Common Stock"
CRMT,America's Car,"America's Car-Mart, Inc. - Common Stock"
CRNT,Ceragon Networks Ltd.,Ceragon Networks Ltd. - Ordinary Shares
CRNX,"Crinetics Pharmaceuticals, Inc.","Crinetics Pharmaceuticals, Inc. - Common Stock"
CRON,Cronos Group Inc.,Cronos Group Inc. - Common Share
CROX,"Crocs, Inc.","Crocs, Inc. - Common Stock"
CRSP,CRISPR Therapeutics AG,CRISPR Therapeutics AG - Common Shares
CRTO,Criteo S.A.,Criteo S.A. - American Depositary Shares
CRUS,"Cirrus Logic, Inc.","Cirrus Logic, Inc. - Common Stock"
CRUSC,Calvert Management Series,Calvert Management Series - Calvert Ultra-Short Income NextShares
CRVL,CorVel Corp.,CorVel Corp. - Common Stock
CRVS,"Corvus Pharmaceuticals, Inc.","Corvus Pharmaceuticals, Inc. - Common Stock"
CRWS,"Crown Crafts, Inc.","Crown Crafts, Inc. - Common Stock"
CRZO,"Carrizo Oil & Gas, Inc.","Carrizo Oil & Gas, Inc. - Common Stock"
CSA,VictoryShares US Small Cap Volatility Wtd ETF,VictoryShares US Small Cap Volatility Wtd ETF
CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,VictoryShares US Small Cap High Div Volatility Wtd ETF
CSBR,"Champions Oncology, Inc.","Champions Oncology, Inc. - Common Stock"
CSCO,"Cisco Systems, Inc.","Cisco Systems, Inc. - Common Stock"
CSF,VictoryShares US Discovery Enhanced Volatility Wtd ETF,VictoryShares US Discovery Enhanced Volatility Wtd ETF
CSFL,CenterState Bank Corporation,CenterState Bank Corporation - Common Stock
CSGP,"CoStar Group, Inc.","CoStar Group, Inc. - Common Stock"
CSGS,"CSG Systems International, Inc.","CSG Systems International, Inc. - Common Stock"
CSII,"Cardiovascular Systems, Inc.","Cardiovascular Systems, Inc. - Common Stock"
CSIQ,Canadian Solar Inc.,Canadian Solar Inc. - common shares
CSML,IQ Chaikin U.S. Small Cap ETF,IQ Chaikin U.S. Small Cap ETF
CSOD,"Cornerstone OnDemand, Inc.","Cornerstone OnDemand, Inc. - Common Stock"
CSPI,CSP Inc.,CSP Inc. - Common Stock
CSQ,Calamos Strategic Total Return Fund,Calamos Strategic Total Return Fund - Common Stock
CSSE,"Chicken Soup for the Soul Entertainment, Inc.","Chicken Soup for the Soul Entertainment, Inc. - Class A Common Stock"
CSSEP,"Chicken Soup for the Soul Entertainment, Inc.","Chicken Soup for the Soul Entertainment, Inc. - 9.75% Series A Cumulative Redeemable Perpetual Preferred Stock"
CSTE,Caesarstone Ltd.,Caesarstone Ltd. - Ordinary Shares
CSTR,"CapStar Financial Holdings, Inc.","CapStar Financial Holdings, Inc. - Common Stock"
CSWC,Capital Southwest Corporation,Capital Southwest Corporation - Common Stock
CSWCL,Capital Southwest Corporation,Capital Southwest Corporation - 5.95% Notes due 2022
CSWI,"CSW Industrials, Inc.","CSW Industrials, Inc. - Common Stock"
CSX,CSX Corporation,CSX Corporation - Common Stock
CTAS,Cintas Corporation,Cintas Corporation - Common Stock
CTBI,"Community Trust Bancorp, Inc.","Community Trust Bancorp, Inc. - Common Stock"
CTG,"Computer Task Group, Incorporated","Computer Task Group, Incorporated - Common Stock"
CTHR,Charles & Colvard Ltd.,Charles & Colvard Ltd. - Common Stock
CTIB,CTI Industries Corporation,CTI Industries Corporation - Common Stock
CTIC,CTI BioPharma Corp.,CTI BioPharma Corp. - Common Stock
CTMX,"CytomX Therapeutics, Inc.","CytomX Therapeutics, Inc. - Common Stock"
CTRE,"CareTrust REIT, Inc.","CareTrust REIT, Inc. - Common Stock"
CTRL,Control4 Corporation,Control4 Corporation - Common Stock
CTRN,"Citi Trends, Inc.","Citi Trends, Inc. - Common Stock"
CTRP,"Ctrip.com International, Ltd.","Ctrip.com International, Ltd. - American Depositary Shares"
CTRV,ContraVir Pharmaceuticals Inc.,ContraVir Pharmaceuticals Inc. - Common Stock
CTSH,Cognizant Technology Solutions Corporation,Cognizant Technology Solutions Corporation - Class A Common Stock
CTSO,Cytosorbents Corporation,Cytosorbents Corporation - Common Stock
CTWS,"Connecticut Water Service, Inc.","Connecticut Water Service, Inc. - Common Stock"
CTXR,"Citius Pharmaceuticals, Inc.","Citius Pharmaceuticals, Inc. - Common Stock"
CTXRW,"Citius Pharmaceuticals, Inc.","Citius Pharmaceuticals, Inc. - Warrant"
CTXS,"Citrix Systems, Inc.","Citrix Systems, Inc. - Common Stock"
CUBA,"The Herzfeld Caribbean Basin Fund, Inc.","The Herzfeld Caribbean Basin Fund, Inc. - Closed End FUnd"
CUE,"Cue Biopharma, Inc.","Cue Biopharma, Inc. - Common Stock"
CUI,"CUI Global, Inc.","CUI Global, Inc. - Common Stock"
CUR,"Neuralstem, Inc.","Neuralstem, Inc. - Common Stock"
CUTR,"Cutera, Inc.","Cutera, Inc. - Common Stock"
CVBF,CVB Financial Corporation,CVB Financial Corporation - Common Stock
CVCO,"Cavco Industries, Inc.","Cavco Industries, Inc. - Common Stock"
CVCY,Central Valley Community Bancorp,Central Valley Community Bancorp - Common Stock
CVGI,"Commercial Vehicle Group, Inc.","Commercial Vehicle Group, Inc. - Common Stock"
CVGW,"Calavo Growers, Inc.","Calavo Growers, Inc. - Common Stock"
CVLT,"Commvault Systems, Inc.","Commvault Systems, Inc. - Common Stock"
CVLY,"Codorus Valley Bancorp, Inc","Codorus Valley Bancorp, Inc - Common Stock"
CVON,"ConvergeOne Holdings, Inc.","ConvergeOne Holdings, Inc. - Class A Common Stock"
CVTI,"Covenant Transportation Group, Inc.","Covenant Transportation Group, Inc. - Class A Common Stock"
CVV,CVD Equipment Corporation,CVD Equipment Corporation - Common Stock
CWAY,"Coastway Bancorp, Inc.","Coastway Bancorp, Inc. - Common Stock"
CWBC,Community West Bancshares,Community West Bancshares - Common Stock
CWBR,"CohBar, Inc.","CohBar, Inc. - Common Stock"
CWCO,Consolidated Water Co. Ltd.,Consolidated Water Co. Ltd. - Ordinary Shares
CWST,"Casella Waste Systems, Inc.","Casella Waste Systems, Inc. - Class A Common Stock"
CXDC,China XD Plastics Company Limited,China XD Plastics Company Limited - Common Stock
CXSE,WisdomTree China ex,WisdomTree China ex-State-Owned Enterprises Fund
CY,Cypress Semiconductor Corporation,Cypress Semiconductor Corporation - Common Stock
CYAD,Celyad SA,Celyad SA - American Depositary Shares
CYAN,Cyanotech Corporation,Cyanotech Corporation - Common Stock
CYBE,CyberOptics Corporation,CyberOptics Corporation - Common Stock
CYBR,CyberArk Software Ltd.,CyberArk Software Ltd. - Ordinary Shares
CYCC,"Cyclacel Pharmaceuticals, Inc.","Cyclacel Pharmaceuticals, Inc. - Common Stock"
CYCCP,"Cyclacel Pharmaceuticals, Inc.","Cyclacel Pharmaceuticals, Inc. - 6% Convertible Preferred Stock"
CYHHZ,"Community Health Systems, Inc.","Community Health Systems, Inc. - Series A Contingent Value Rights"
CYOU,Changyou.com Limited,"Changyou.com Limited - American Depositary Shares, each representing two Class A ordinary shares"
CYRN,CYREN Ltd.,CYREN Ltd. - Ordinary Shares
CYRX,"CryoPort, Inc.","CryoPort, Inc. - Common Stock"
CYRXW,"CryoPort, Inc.","CryoPort, Inc. - Warrants"
CYTK,"Cytokinetics, Incorporated","Cytokinetics, Incorporated - Common Stock"
CYTR,CytRx Corporation,CytRx Corporation - Common Stock
CYTX,Cytori Therapeutics Inc.,Cytori Therapeutics Inc. - Common Stock
CYTXW,Cytori Therapeutics Inc.,Cytori Therapeutics Inc. - Warrant
CYTXZ,Cytori Therapeutics Inc.,Cytori Therapeutics Inc. - Series S Warrant
CZFC,Citizens First Corporation,Citizens First Corporation - Common Stock
CZNC,Citizens & Northern Corp,Citizens & Northern Corp - Common Stock
CZR,Caesars Entertainment Corporation,Caesars Entertainment Corporation - Common Stock
CZWI,"Citizens Community Bancorp, Inc.","Citizens Community Bancorp, Inc. - Common Stock"
DAIO,Data I/O Corporation,Data I/O Corporation - Common Stock
DAKT,"Daktronics, Inc.","Daktronics, Inc. - Common Stock"
DALI,First Trust DorseyWright DALI 1 ETF,First Trust DorseyWright DALI 1 ETF
DARE,"Dare Bioscience, Inc.","Dare Bioscience, Inc. - Common Stock"
DAVE,"Famous Dave's of America, Inc.","Famous Dave's of America, Inc. - Common Stock"
DAX,Horizons DAX Germany ETF,Horizons DAX Germany ETF
DBVT,DBV Technologies S.A.,DBV Technologies S.A. - American Depositary Shares
DBX,"Dropbox, Inc.","Dropbox, Inc. - Class A Common Stock"
DCAR,"DropCar, Inc.","DropCar, Inc. - Common Stock"
DCIX,Diana Containerships Inc.,Diana Containerships Inc. - Common Shares
DCOM,"Dime Community Bancshares, Inc.","Dime Community Bancshares, Inc. - Common Stock"
DCPH,"Deciphera Pharmaceuticals, Inc.","Deciphera Pharmaceuticals, Inc. - Common Stock"
DDBI,Legg Mason Developed EX,Legg Mason Developed EX-US Diversified Core ETF
DELT,Delta Technology Holdings Limited,Delta Technology Holdings Limited - Ordinary Shares
DENN,Denny's Corporation,Denny's Corporation - Common Stock
DERM,"Dermira, Inc.","Dermira, Inc. - Common Stock"
DEST,Destination Maternity Corporation,Destination Maternity Corporation - Common Stock
DFBG,Differential Brands Group Inc.,Differential Brands Group Inc. - Common Stock
DFBH,DFB Healthcare Acquisitions Corp.,DFB Healthcare Acquisitions Corp. - Common Stock
DFBHU,DFB Healthcare Acquisitions Corp.,DFB Healthcare Acquisitions Corp. - Unit
DFBHW,DFB Healthcare Acquisitions Corp.,DFB Healthcare Acquisitions Corp. - Warrant
DFFN,Diffusion Pharmaceuticals Inc.,Diffusion Pharmaceuticals Inc. - Common Stock
DFNL,Davis Select Financial ETF,Davis Select Financial ETF
DFRG,"Del Frisco's Restaurant Group, Inc.","Del Frisco's Restaurant Group, Inc. - Common Stock"
DFVL,Barclays PLC,Barclays PLC - iPath US Treasury 5 Year Bull ETN
DFVS,Barclays PLC,Barclays PLC - iPath US Treasury 5-year Bear ETN
DGICA,"Donegal Group, Inc.","Donegal Group, Inc. - Class A Common Stock"
DGICB,"Donegal Group, Inc.","Donegal Group, Inc. - Class B Common Stock"
DGII,Digi International Inc.,Digi International Inc. - Common Stock
DGLD,Credit Suisse AG,Credit Suisse AG - VelocityShares 3x Inverse Gold ETN
DGLY,"Digital Ally, Inc.","Digital Ally, Inc. - Common Stock"
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,WisdomTree Emerging Markets Quality Dividend Growth Fund
DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,WisdomTree U.S. SmallCap Quality Dividend Growth Fund
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,WisdomTree U.S. Quality Dividend Growth Fund
DHIL,"Diamond Hill Investment Group, Inc.","Diamond Hill Investment Group, Inc. - Class A Common Stock"
DHXM,DHX Media Ltd.,DHX Media Ltd. - Common Voting and Variable Voting Shares
DINT,Davis Select International ETF,Davis Select International ETF
DIOD,Diodes Incorporated,Diodes Incorporated - Common Stock
DISCA,"Discovery, Inc.","Discovery, Inc. - Series A Common Stock"
DISCB,"Discovery, Inc.","Discovery, Inc. - Series B Common Stock"
DISCK,"Discovery, Inc.","Discovery, Inc. - Series C Common Stock"
DISH,DISH Network Corporation,DISH Network Corporation - Class A Common Stock
DJCO,Daily Journal Corp. (S.C.),Daily Journal Corp. (S.C.) - Common Stock
DLBL,Barclays PLC,Barclays PLC - iPath US Treasury Long Bond Bull ETN
DLBS,Barclays PLC,Barclays PLC - iPath US Treasury Long Bond Bear ETN
DLHC,DLH Holdings Corp.,DLH Holdings Corp. - Common Stock
DLPN,"Dolphin Entertainment, Inc.","Dolphin Entertainment, Inc. - Common Stock"
DLPNW,"Dolphin Entertainment, Inc.","Dolphin Entertainment, Inc. - Warrant"
DLTH,Duluth Holdings Inc.,Duluth Holdings Inc. - Class B Common Stock
DLTR,"Dollar Tree, Inc.","Dollar Tree, Inc. - Common Stock"
DMLP,"Dorchester Minerals, L.P.","Dorchester Minerals, L.P. - Common Units Representing Limited Partnership Interests"
DMPI,"DelMar Pharmaceuticals, Inc.","DelMar Pharmaceuticals, Inc. - Common Stock"
DMRC,Digimarc Corporation,Digimarc Corporation - Common Stock
DNBF,DNB Financial Corp,DNB Financial Corp - Common Stock
DNJR,Golden Bull Limited,Golden Bull Limited - Ordinary Share
DNKN,"Dunkin' Brands Group, Inc.","Dunkin' Brands Group, Inc. - Common Stock"
DNLI,Denali Therapeutics Inc.,Denali Therapeutics Inc. - Common Stock
DOCU,"DocuSign, Inc.","DocuSign, Inc. - Common Stock"
DOGZ,Dogness (International) Corporation,Dogness (International) Corporation - Class A Common Stock
DOMO,"Domo, Inc.","Domo, Inc. - Class B Common Stock"
DORM,"Dorman Products, Inc.","Dorman Products, Inc. - Common Stock"
DOTA,"Draper Oakwood Technology Acquisition, Inc.","Draper Oakwood Technology Acquisition, Inc. - Class A Common Stock"
DOTAR,"Draper Oakwood Technology Acquisition, Inc.","Draper Oakwood Technology Acquisition, Inc. - Right"
DOTAU,"Draper Oakwood Technology Acquisition, Inc.","Draper Oakwood Technology Acquisition, Inc. - Unit"
DOTAW,"Draper Oakwood Technology Acquisition, Inc.","Draper Oakwood Technology Acquisition, Inc. - Warrant"
DOVA,"Dova Pharmaceuticals, Inc.","Dova Pharmaceuticals, Inc. - Common Stock"
DOX,Amdocs Limited,Amdocs Limited - Ordinary Shares
DRAD,Digirad Corporation,Digirad Corporation - Common Stock
DRIO,DarioHealth Corp.,DarioHealth Corp. - Common Stock
DRIOW,DarioHealth Corp.,DarioHealth Corp. - Warrant
DRIV,Global X Autonomous & Electric Vehicles ETF,Global X Autonomous & Electric Vehicles ETF
DRNA,"Dicerna Pharmaceuticals, Inc.","Dicerna Pharmaceuticals, Inc. - Common Stock"
DRRX,DURECT Corporation,DURECT Corporation - Common Stock
DRYS,DryShips Inc.,DryShips Inc. - Common Stock
DSGX,The Descartes Systems Group Inc.,The Descartes Systems Group Inc. - Common Stock
DSKE,"Daseke, Inc.","Daseke, Inc. - Common Stock"
DSKEW,"Daseke, Inc.","Daseke, Inc. - Warrant"
DSLV,Credit Suisse AG,Credit Suisse AG - VelocityShares 3x Inverse Silver ETN
DSPG,"DSP Group, Inc.","DSP Group, Inc. - Common Stock"
DSWL,"Deswell Industries, Inc.","Deswell Industries, Inc. - Common Shares"
DTEA,DAVIDsTEA Inc.,DAVIDsTEA Inc. - Common Stock
DTRM,"Determine, Inc.","Determine, Inc.  - Common Stock"
DTUL,Barclays PLC,Barclays PLC - iPath US Treasury 2 Yr Bull ETN
DTUS,Barclays PLC,Barclays PLC - iPath US Treasury 2-year Bear ETN
DTYL,Barclays PLC,Barclays PLC - iPath US Treasury 10 Year Bull ETN
DTYS,Barclays PLC,Barclays PLC - iPath US Treasury 10-year Bear ETN
DUSA,Davis Select U.S. Equity ETF,Davis Select U.S. Equity ETF
DVAX,Dynavax Technologies Corporation,Dynavax Technologies Corporation - Common Stock
DVCR,Diversicare Healthcare Services Inc.,Diversicare Healthcare Services Inc. - Common Stock
DVY,iShares Select Dividend ETF,iShares Select Dividend ETF
DWAQ,Invesco DWA NASDAQ Momentum ETF,Invesco DWA NASDAQ Momentum ETF
DWAS,Invesco DWA SmallCap Momentum ETF,Invesco DWA SmallCap Momentum ETF
DWAT,Arrow DWA Tactical ETF,Arrow DWA Tactical ETF
DWCH,Datawatch Corporation,Datawatch Corporation - Common Stock
DWCR,Arrow DWA Country Rotation ETF,Arrow DWA Country Rotation ETF
DWFI,SPDR Dorsey Wright Fixed Income Allocation ETF,SPDR Dorsey Wright Fixed Income Allocation ETF
DWIN,Invesco DWA Tactical Multi,Invesco DWA Tactical Multi-Asset Income ETF
DWLD,Davis Select Worldwide ETF,Davis Select Worldwide ETF
DWLV,Invesco DWA Momentum & Low Volatility Rotation ETF,Invesco DWA Momentum & Low Volatility Rotation ETF
DWMC,AdvisorShares Dorsey Wright Micro,AdvisorShares Dorsey Wright Micro-Cap ETF
DWPP,First Trust Dorsey Wright People's Portfolio ETF,First Trust Dorsey Wright People's Portfolio ETF
DWSH,AdvisorShares Dorsey Wright Short ETF,AdvisorShares Dorsey Wright Short ETF
DWSN,Dawson Geophysical Company,Dawson Geophysical Company - Common Stock
DWTR,Invesco DWA Tactical Sector Rotation ETF,Invesco DWA Tactical Sector Rotation ETF
DXCM,"DexCom, Inc.","DexCom, Inc. - Common Stock"
DXGE,WisdomTree Germany Hedged Equity Fund,WisdomTree Germany Hedged Equity Fund
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,WisdomTree Japan Hedged SmallCap Equity Fund
DXLG,"Destination XL Group, Inc.","Destination XL Group, Inc. - Common Stock"
DXPE,"DXP Enterprises, Inc.","DXP Enterprises, Inc. - Common Stock"
DXYN,"The Dixie Group, Inc.","The Dixie Group, Inc. - Common Stock"
DYNT,Dynatronics Corporation,Dynatronics Corporation - Common Stock
DYSL,Dynasil Corporation of America,Dynasil Corporation of America - Common Stock
DZSI,"DASAN Zhone Solutions, Inc.","DASAN Zhone Solutions, Inc. - Common Stock"
EA,Electronic Arts Inc.,Electronic Arts Inc. - Common Stock
EACQ,Easterly Acquisition Corp.,Easterly Acquisition Corp. - Common Stock
EACQU,Easterly Acquisition Corp.,Easterly Acquisition Corp. - Unit
EACQW,Easterly Acquisition Corp.,Easterly Acquisition Corp. - Warrant
EAGL,Platinum Eagle Acquisition Corp.,Platinum Eagle Acquisition Corp. - Class A Ordinary Shares
EAGLU,Platinum Eagle Acquisition Corp.,Platinum Eagle Acquisition Corp. - Unit
EAGLW,Platinum Eagle Acquisition Corp.,Platinum Eagle Acquisition Corp. - Warrant
EARS,Auris Medical Holding AG,Auris Medical Holding AG - Common Shares
EAST,"Eastside Distilling, Inc.","Eastside Distilling, Inc. - Common Stock"
EASTW,"Eastside Distilling, Inc.","Eastside Distilling, Inc. - Warrants"
EBAY,eBay Inc.,eBay Inc. - Common Stock
EBAYL,eBay Inc.,eBay Inc. - 6.0% Notes Due 2056
EBIX,"Ebix, Inc.","Ebix, Inc. - Common Stock"
EBMT,"Eagle Bancorp Montana, Inc.","Eagle Bancorp Montana, Inc. - Common Stock"
EBSB,"Meridian Bancorp, Inc.","Meridian Bancorp, Inc. - Common Stock"
EBTC,Enterprise Bancorp Inc,Enterprise Bancorp Inc - Common Stock
ECHO,"Echo Global Logistics, Inc.","Echo Global Logistics, Inc. - Common Stock"
ECOL,"US Ecology, Inc.","US Ecology, Inc. - Common Stock"
ECOR,"electroCore, Inc.","electroCore, Inc. - Common Stock"
ECPG,Encore Capital Group Inc,Encore Capital Group Inc - Common Stock
ECYT,"Endocyte, Inc.","Endocyte, Inc. - Common Stock"
EDAP,EDAP TMS S.A.,"EDAP TMS S.A. - American Depositary Shares, each representing One Ordinary Share"
EDBI,Legg Mason Emerging Markets Diversified Core ETF,Legg Mason Emerging Markets Diversified Core ETF
EDGE,"Edge Therapeutics, Inc.","Edge Therapeutics, Inc. - Common Stock"
EDGW,"Edgewater Technology, Inc.","Edgewater Technology, Inc. - Common Stock"
EDIT,"Editas Medicine, Inc.","Editas Medicine, Inc. - Common Stock"
EDRY,EuroDry Ltd.,EuroDry Ltd. - Common Shares
EDUC,Educational Development Corporation,Educational Development Corporation - Common Stock
EEFT,"Euronet Worldwide, Inc.","Euronet Worldwide, Inc. - Common Stock"
EEI,"Ecology and Environment, Inc.","Ecology and Environment, Inc. - Class A Common Stock"
EEMA,iShares MSCI Emerging Markets Asia ETF,iShares MSCI Emerging Markets Asia ETF
EFAS,Global X MSCI SuperDividend EAFE ETF,Global X MSCI SuperDividend EAFE ETF
EFBI,"Eagle Financial Bancorp, Inc.","Eagle Financial Bancorp, Inc. - Common Stock"
EFII,"Electronics for Imaging, Inc.","Electronics for Imaging, Inc. - Common Stock"
EFOI,"Energy Focus, Inc.","Energy Focus, Inc. - Common Stock"
EFSC,Enterprise Financial Services Corporation,Enterprise Financial Services Corporation - Common Stock
EGAN,eGain Corporation,eGain Corporation - Common Stock
EGBN,"Eagle Bancorp, Inc.","Eagle Bancorp, Inc. - Common Stock"
EGC,"Energy XXI Gulf Coast, Inc.","Energy XXI Gulf Coast, Inc. - Common Stock"
EGLE,Eagle Bulk Shipping Inc.,Eagle Bulk Shipping Inc. - Common Stock
EGLT,Egalet Corporation,Egalet Corporation - Common Stock
EGOV,NIC Inc.,NIC Inc. - Common Stock
EGRX,"Eagle Pharmaceuticals, Inc.","Eagle Pharmaceuticals, Inc. - Common Stock"
EHTH,"eHealth, Inc.","eHealth, Inc. - Common Stock"
EIDX,"Eidos Therapeutics, Inc.","Eidos Therapeutics, Inc. - Common Stock"
EIGI,"Endurance International Group Holdings, Inc.","Endurance International Group Holdings, Inc. - Common Stock"
EIGR,"Eiger BioPharmaceuticals, Inc.","Eiger BioPharmaceuticals, Inc. - Common Stock"
EKSO,"Ekso Bionics Holdings, Inc.","Ekso Bionics Holdings, Inc. - Common Stock"
ELGX,"Endologix, Inc.","Endologix, Inc. - Common Stock"
ELON,Echelon Corporation,Echelon Corporation - Common Stock
ELOX,"Eloxx Pharmaceuticals, Inc.","Eloxx Pharmaceuticals, Inc. - Common Stock"
ELSE,Electro,"Electro-Sensors, Inc. - Common Stock"
ELTK,Eltek Ltd.,Eltek Ltd. - Ordinary Shares
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,iShares J.P. Morgan USD Emerging Markets Bond ETF
EMCB,WisdomTree Emerging Markets Corporate Bond Fund,WisdomTree Emerging Markets Corporate Bond Fund
EMCF,Emclaire Financial Corp,Emclaire Financial Corp - Common Stock
EMCG,WisdomTree Emerging Markets Consumer Growth Fund,WisdomTree Emerging Markets Consumer Growth Fund
EMCI,EMC Insurance Group Inc.,EMC Insurance Group Inc. - Common Stock
EMIF,iShares S&P Emerging Markets Infrastructure Index Fund,iShares S&P Emerging Markets Infrastructure Index Fund
EMITF,Elbit Imaging Ltd.,Elbit Imaging Ltd. - Ordinary Shares
EMKR,EMCORE Corporation,EMCORE Corporation - Common Stock
EML,Eastern Company (The),Eastern Company (The) - Common Stock
EMMS,Emmis Communications Corporation,Emmis Communications Corporation - Class A Common Stock
EMXC,iShares MSCI Emerging Markets ex China ETF,iShares MSCI Emerging Markets ex China ETF
ENDP,Endo International plc,Endo International plc - Ordinary Shares
ENFC,Entegra Financial Corp.,Entegra Financial Corp. - Common Stock
ENG,ENGlobal Corporation,ENGlobal Corporation - Common Stock
ENPH,"Enphase Energy, Inc.","Enphase Energy, Inc. - Common Stock"
ENSG,"The Ensign Group, Inc.","The Ensign Group, Inc. - Common Stock"
ENT,Global Eagle Entertainment Inc.,Global Eagle Entertainment Inc. - Common Stock
ENTA,"Enanta Pharmaceuticals, Inc.","Enanta Pharmaceuticals, Inc. - Common Stock"
ENTG,"Entegris, Inc.","Entegris, Inc. - Common Stock"
ENTX,Entera Bio Ltd.,Entera Bio Ltd. - Ordinary Shares
ENTXW,Entera Bio Ltd.,Entera Bio Ltd. - Warrant
ENZL,iShares MSCI New Zealand ETF,iShares MSCI New Zealand ETF
EOLS,"Evolus, Inc.","Evolus, Inc. - Common Stock"
EPAY,"Bottomline Technologies, Inc.","Bottomline Technologies, Inc. - Common Stock"
EPIX,ESSA Pharma Inc.,ESSA Pharma Inc. - Common Stock
EPZM,"Epizyme, Inc.","Epizyme, Inc. - Common Stock"
EQBK,"Equity Bancshares, Inc.","Equity Bancshares, Inc. - Class A Common Stock"
EQIX,"Equinix, Inc.","Equinix, Inc. - Common Stock"
EQRR,ProShares Equities for Rising Rates ETF,ProShares Equities for Rising Rates ETF
ERI,"Eldorado Resorts, Inc.","Eldorado Resorts, Inc. - Common Stock"
ERIC,Ericsson,Ericsson - ADS each representing 1 underlying Class B share
ERIE,Erie Indemnity Company,Erie Indemnity Company - Class A Common Stock
ERII,"Energy Recovery, Inc.","Energy Recovery, Inc. - Common Stock"
ERYP,Erytech Pharma S.A.,Erytech Pharma S.A. - American Depositary Shares
ESBK,Elmira Savings Bank NY (The),Elmira Savings Bank NY (The) - Common Stock
ESCA,"Escalade, Incorporated","Escalade, Incorporated - Common Stock"
ESEA,Euroseas Ltd.,Euroseas Ltd. - Common Stock
ESES,Eco,"Eco-Stim Energy Solutions, Inc. - Common Stock"
ESG,FlexShares STOXX US ESG Impact Index Fund,FlexShares STOXX US ESG Impact Index Fund
ESGD,iShares MSCI EAFE ESG Optimized ETF,iShares MSCI EAFE ESG Optimized ETF
ESGE,iShares MSCI EM ESG Optimized ETF,iShares MSCI EM ESG Optimized ETF
ESGG,FlexShares STOXX Global ESG Impact Index Fund,FlexShares STOXX Global ESG Impact Index Fund
ESGR,Enstar Group Limited,Enstar Group Limited - Ordinary Shares
ESGRP,Enstar Group Limited,Enstar Group Limited - Depositary Shares Each Representing 1/1000th of an interest in Preference Shares
