id,year,category,full_name,laureate_type,prize_share,prize,motivation,laureate_id,birth_date,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country
20,1923,Chemistry,Fritz Pregl,Individual,1/1,The Nobel Prize in Chemistry 1923,"""for his invention of the method of micro-analysis of organic substances""",181.0,1869-09-03,Laibach (Ljubljana),Austria-Hungary (Slovenia),Male,Graz University,Graz,Austria,1930-12-13,Graz,Austria
21,1925,Chemistry,Richard Adolf Zsigmondy,Individual,1/1,The Nobel Prize in Chemistry 1925,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry""",182.0,1865-04-01,Vienna,Austrian Empire (Austria),Male,Goettingen University,Göttingen,Germany,1929-09-24,Göttingen,Germany
22,1926,Chemistry,The (Theodor) Svedberg,Individual,1/1,The Nobel Prize in Chemistry 1926,"""for his work on disperse systems""",183.0,1884-08-30,Fleräng,Sweden,Male,Uppsala University,Uppsala,Sweden,1971-02-25,Örebro,Sweden
23,1927,Chemistry,Heinrich Otto Wieland,Individual,1/1,The Nobel Prize in Chemistry 1927,"""for his investigations of the constitution of the bile acids and related substances""",184.0,1877-06-04,Pforzheim,Germany,Male,Munich University,Munich,Germany,1957-08-05,Munich,West Germany (Germany)
24,1928,Chemistry,Adolf Otto Reinhold Windaus,Individual,1/1,The Nobel Prize in Chemistry 1928,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""",185.0,1876-12-25,Berlin,Germany,Male,Goettingen University,Göttingen,Germany,1959-06-09,Göttingen,West Germany (Germany)
25,1929,Chemistry,Arthur Harden,Individual,1/2,The Nobel Prize in Chemistry 1929,"""for their investigations on the fermentation of sugar and fermentative enzymes""",186.0,1865-10-12,Manchester,United Kingdom,Male,London University,London,United Kingdom,1940-06-17,Bourne,United Kingdom
26,1929,Chemistry,Hans Karl August Simon von Euler-Chelpin,Individual,1/2,The Nobel Prize in Chemistry 1929,"""for their investigations on the fermentation of sugar and fermentative enzymes""",187.0,1873-02-15,Augsburg,Germany,Male,Stockholm University,Stockholm,Sweden,1964-11-06,Stockholm,Sweden
27,1930,Chemistry,Hans Fischer,Individual,1/1,The Nobel Prize in Chemistry 1930,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin""",188.0,1881-07-27,Hoechst,Germany,Male,Technische Hochschule (Institute of Technology),Munich,Germany,1945-03-31,Munich,Germany
28,1931,Chemistry,Carl Bosch,Individual,1/2,The Nobel Prize in Chemistry 1931,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",189.0,1874-08-27,Cologne,Germany,Male,University of Heidelberg,Heidelberg,Germany,1940-04-26,Heidelberg,Germany
29,1931,Chemistry,Carl Bosch,Individual,1/2,The Nobel Prize in Chemistry 1931,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",189.0,1874-08-27,Cologne,Germany,Male,I.G. Farbenindustrie A.G.,Heidelberg,Germany,1940-04-26,Heidelberg,Germany
30,1931,Chemistry,Friedrich Bergius,Individual,1/2,The Nobel Prize in Chemistry 1931,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",190.0,1884-10-11,"Goldschmieden, near Breslau",Germany (Poland),Male,University of Heidelberg,Heidelberg,Germany,1949-03-30,Buenos Aires,Argentina
31,1931,Chemistry,Friedrich Bergius,Individual,1/2,The Nobel Prize in Chemistry 1931,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",190.0,1884-10-11,"Goldschmieden, near Breslau",Germany (Poland),Male,I.G. Farbenindustrie A.G.,Mannheim-Rheinau,Germany,1949-03-30,Buenos Aires,Argentina
32,1932,Chemistry,Irving Langmuir,Individual,1/1,The Nobel Prize in Chemistry 1932,"""for his discoveries and investigations in surface chemistry""",191.0,1881-01-31,"Brooklyn, NY",United States of America,Male,General Electric Company,"Schenectady, NY",United States of America,1957-08-16,"Falmouth, MA",United States of America
33,1934,Chemistry,Harold Clayton Urey,Individual,1/1,The Nobel Prize in Chemistry 1934,"""for his discovery of heavy hydrogen""",192.0,1893-04-29,"Walkerton, IN",United States of America,Male,Columbia University,"New York, NY",United States of America,1981-01-05,"La Jolla, CA",United States of America
34,1935,Chemistry,Frédéric Joliot,Individual,1/2,The Nobel Prize in Chemistry 1935,"""in recognition of their synthesis of new radioactive elements""",193.0,1900-03-19,Paris,France,Male,Institut du Radium,Paris,France,1958-08-14,Paris,France
35,1935,Chemistry,Irène Joliot-Curie,Individual,1/2,The Nobel Prize in Chemistry 1935,"""in recognition of their synthesis of new radioactive elements""",194.0,1897-09-12,Paris,France,Female,Institut du Radium,Paris,France,1956-03-17,Paris,France
36,1936,Chemistry,Petrus (Peter) Josephus Wilhelmus Debye,Individual,1/1,The Nobel Prize in Chemistry 1936,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",195.0,1884-03-24,Maastricht,Netherlands,Male,Berlin University,Berlin,Germany,1966-11-02,"Ithaca, NY",United States of America
37,1936,Chemistry,Petrus (Peter) Josephus Wilhelmus Debye,Individual,1/1,The Nobel Prize in Chemistry 1936,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",195.0,1884-03-24,Maastricht,Netherlands,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,1966-11-02,"Ithaca, NY",United States of America
38,1937,Chemistry,Walter Norman Haworth,Individual,1/2,The Nobel Prize in Chemistry 1937,"""for his investigations on carbohydrates and vitamin C""",196.0,1883-03-19,Chorley,United Kingdom,Male,Birmingham University,Birmingham,United Kingdom,1950-03-19,Birmingham,United Kingdom
39,1937,Chemistry,Paul Karrer,Individual,1/2,The Nobel Prize in Chemistry 1937,"""for his investigations on carotenoids, flavins and vitamins A and B2""",197.0,1889-04-21,Moscow,Russia,Male,University of Zurich,Zurich,Switzerland,1971-06-18,Zurich,Switzerland
40,1938,Chemistry,Richard Kuhn,Individual,1/1,The Nobel Prize in Chemistry 1938,"""for his work on carotenoids and vitamins""",198.0,1900-12-03,Vienna,Austria-Hungary (Austria),Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Heidelberg,Germany,1967-07-31,Heidelberg,West Germany (Germany)
41,1938,Chemistry,Richard Kuhn,Individual,1/1,The Nobel Prize in Chemistry 1938,"""for his work on carotenoids and vitamins""",198.0,1900-12-03,Vienna,Austria-Hungary (Austria),Male,University of Heidelberg,Heidelberg,Germany,1967-07-31,Heidelberg,West Germany (Germany)
42,1939,Chemistry,Adolf Friedrich Johann Butenandt,Individual,1/2,The Nobel Prize in Chemistry 1939,"""for his work on sex hormones""",199.0,1903-03-24,Bremerhaven-Lehe,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,1995-01-18,Munich,Germany
43,1939,Chemistry,Adolf Friedrich Johann Butenandt,Individual,1/2,The Nobel Prize in Chemistry 1939,"""for his work on sex hormones""",199.0,1903-03-24,Bremerhaven-Lehe,Germany,Male,Berlin University,Berlin,Germany,1995-01-18,Munich,Germany
44,1939,Chemistry,Leopold Ruzicka,Individual,1/2,The Nobel Prize in Chemistry 1939,"""for his work on polymethylenes and higher terpenes""",200.0,1887-09-13,Vukovar,Austria-Hungary (Croatia),Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,1976-09-26,Zurich,Switzerland
45,1943,Chemistry,George de Hevesy,Individual,1/1,The Nobel Prize in Chemistry 1943,"""for his work on the use of isotopes as tracers in the study of chemical processes""",201.0,1885-08-01,Budapest,Austria-Hungary (Hungary),Male,Stockholm University,Stockholm,Sweden,1966-07-05,Freiburg im Breisgau,West Germany (Germany)
46,1944,Chemistry,Otto Hahn,Individual,1/1,The Nobel Prize in Chemistry 1944,"""for his discovery of the fission of heavy nuclei""",202.0,1879-03-08,Frankfurt-on-the-Main,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,1968-07-28,Göttingen,West Germany (Germany)
47,1945,Chemistry,Artturi Ilmari Virtanen,Individual,1/1,The Nobel Prize in Chemistry 1945,"""for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method""",203.0,1895-01-15,Helsinki,Russian Empire (Finland),Male,University of Helsinki,Helsinki,Finland,1973-11-11,Helsinki,Finland
48,1946,Chemistry,James Batcheller Sumner,Individual,1/2,The Nobel Prize in Chemistry 1946,"""for his discovery that enzymes can be crystallized""",204.0,1887-11-19,"Canton, MA",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,1955-08-12,"Buffalo, NY",United States of America
49,1946,Chemistry,John Howard Northrop,Individual,1/4,The Nobel Prize in Chemistry 1946,"""for their preparation of enzymes and virus proteins in a pure form""",205.0,1891-07-05,"Yonkers, NY",United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America,1987-05-27,"Wickenberg, AZ",United States of America
50,1946,Chemistry,Wendell Meredith Stanley,Individual,1/4,The Nobel Prize in Chemistry 1946,"""for their preparation of enzymes and virus proteins in a pure form""",206.0,1904-08-16,"Ridgeville, IN",United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America,1971-06-15,Salamanca,Spain
51,1947,Chemistry,Sir Robert Robinson,Individual,1/1,The Nobel Prize in Chemistry 1947,"""for his investigations on plant products of biological importance, especially the alkaloids""",207.0,1886-09-13,"Rufford, near Chesterfield",United Kingdom,Male,University of Oxford,Oxford,United Kingdom,1975-02-08,Great Missenden,United Kingdom
52,1948,Chemistry,Arne Wilhelm Kaurin Tiselius,Individual,1/1,The Nobel Prize in Chemistry 1948,"""for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins""",208.0,1902-08-10,Stockholm,Sweden,Male,Uppsala University,Uppsala,Sweden,1971-10-29,Uppsala,Sweden
53,1949,Chemistry,William Francis Giauque,Individual,1/1,The Nobel Prize in Chemistry 1949,"""for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures""",209.0,1895-05-12,Niagara Falls,Canada,Male,University of California,"Berkeley, CA",United States of America,1982-03-28,"Berkeley, CA",United States of America
54,1950,Chemistry,Otto Paul Hermann Diels,Individual,1/2,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",210.0,1876-01-23,Hamburg,Germany,Male,Kiel University,Kiel,Federal Republic of Germany,1954-03-07,Kiel,West Germany (Germany)
55,1950,Chemistry,Kurt Alder,Individual,1/2,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",211.0,1902-07-10,Königshütte (Chorzów),Prussia (Poland),Male,Cologne University,Cologne,Federal Republic of Germany,1958-06-20,Cologne,West Germany (Germany)
56,1951,Chemistry,Edwin Mattison McMillan,Individual,1/2,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",212.0,1907-09-18,"Redondo Beach, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America,1991-09-07,"El Cerrito, CA",United States of America
57,1951,Chemistry,Glenn Theodore Seaborg,Individual,1/2,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",213.0,1912-04-19,"Ishpeming, MI",United States of America,Male,University of California,"Berkeley, CA",United States of America,1999-02-25,"Lafayette, CA",United States of America
58,1952,Chemistry,Archer John Porter Martin,Individual,1/2,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",214.0,1910-03-01,London,United Kingdom,Male,National Institute for Medical Research,London,United Kingdom,2002-07-28,Llangarron,United Kingdom
59,1952,Chemistry,Richard Laurence Millington Synge,Individual,1/2,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",215.0,1914-10-28,Liverpool,United Kingdom,Male,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,1994-08-18,Norwich,United Kingdom
60,1953,Chemistry,Hermann Staudinger,Individual,1/1,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry""",216.0,1881-03-23,Worms,Germany,Male,University of Freiburg,Breisgau,Federal Republic of Germany,1965-09-08,Freiburg im Breisgau,West Germany (Germany)
61,1953,Chemistry,Hermann Staudinger,Individual,1/1,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry""",216.0,1881-03-23,Worms,Germany,Male,"Staatliches Institut für makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg",Breisgau,Federal Republic of Germany,1965-09-08,Freiburg im Breisgau,West Germany (Germany)
62,1954,Chemistry,Linus Carl Pauling,Individual,1/1,The Nobel Prize in Chemistry 1954,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",217.0,1901-02-28,"Portland, OR",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1994-08-19,"Big Sur, CA",United States of America
63,1955,Chemistry,Vincent du Vigneaud,Individual,1/1,The Nobel Prize in Chemistry 1955,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""",218.0,1901-05-18,"Chicago, IL",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,1978-12-11,"White Plains, NY",United States of America
64,1956,Chemistry,Sir Cyril Norman Hinshelwood,Individual,1/2,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",219.0,1897-05-19,London,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,1967-10-09,London,United Kingdom
65,1956,Chemistry,Nikolay Nikolaevich Semenov,Individual,1/2,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",220.0,1896-04-03,Saratov,Russia,Male,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,Union of Soviet Socialist Republics,1986-09-25,Moscow,Union of Soviet Socialist Republics
66,1957,Chemistry,Lord (Alexander R.) Todd,Individual,1/1,The Nobel Prize in Chemistry 1957,"""for his work on nucleotides and nucleotide co-enzymes""",221.0,1907-10-02,Glasgow,Scotland,Male,University of Cambridge,Cambridge,United Kingdom,1997-01-10,Cambridge,United Kingdom
67,1958,Chemistry,Frederick Sanger,Individual,1/1,The Nobel Prize in Chemistry 1958,"""for his work on the structure of proteins, especially that of insulin""",222.0,1918-08-13,Rendcombe,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,2013-11-19,Cambridge,United Kingdom
68,1959,Chemistry,Jaroslav Heyrovsky,Individual,1/1,The Nobel Prize in Chemistry 1959,"""for his discovery and development of the polarographic methods of analysis""",223.0,1890-12-20,Prague,Austria-Hungary (Czech Republic),Male,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia,1967-03-27,Prague,Czechoslovakia
69,1960,Chemistry,Willard Frank Libby,Individual,1/1,The Nobel Prize in Chemistry 1960,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science""",224.0,1908-12-17,"Grand Valley, CO",United States of America,Male,University of California,"Los Angeles, CA",United States of America,1980-09-08,"Los Angeles, CA",United States of America
70,1961,Chemistry,Melvin Calvin,Individual,1/1,The Nobel Prize in Chemistry 1961,"""for his research on the carbon dioxide assimilation in plants""",225.0,1911-04-08,"St. Paul, MN",United States of America,Male,University of California,"Berkeley, CA",United States of America,1997-01-08,"Berkeley, CA",United States of America
71,1962,Chemistry,Max Ferdinand Perutz,Individual,1/2,The Nobel Prize in Chemistry 1962,"""for their studies of the structures of globular proteins""",226.0,1914-05-19,Vienna,Austria,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2002-02-06,Cambridge,United Kingdom
72,1962,Chemistry,John Cowdery Kendrew,Individual,1/2,The Nobel Prize in Chemistry 1962,"""for their studies of the structures of globular proteins""",227.0,1917-03-24,Oxford,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1997-08-23,Cambridge,United Kingdom
73,1963,Chemistry,Karl Ziegler,Individual,1/2,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers""",228.0,1898-11-26,Helsa,Germany,Male,Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Federal Republic of Germany,1973-08-12,Mülheim,West Germany (Germany)
74,1963,Chemistry,Giulio Natta,Individual,1/2,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers""",229.0,1903-02-26,Imperia,Italy,Male,Institute of Technology,Milan,Italy,1979-05-02,Bergamo,Italy
75,1964,Chemistry,Dorothy Crowfoot Hodgkin,Individual,1/1,The Nobel Prize in Chemistry 1964,"""for her determinations by X-ray techniques of the structures of important biochemical substances""",230.0,1910-05-12,Cairo,Egypt,Female,"University of Oxford, Royal Society",Oxford,United Kingdom,1994-07-29,Shipston-on-Stour,United Kingdom
76,1965,Chemistry,Robert Burns Woodward,Individual,1/1,The Nobel Prize in Chemistry 1965,"""for his outstanding achievements in the art of organic synthesis""",231.0,1917-04-10,"Boston, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1979-07-08,"Cambridge, MA",United States of America
77,1966,Chemistry,Robert S. Mulliken,Individual,1/1,The Nobel Prize in Chemistry 1966,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",232.0,1896-06-07,"Newburyport, MA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,1986-10-31,"Arlington, VA",United States of America
78,1967,Chemistry,Manfred Eigen,Individual,1/2,The Nobel Prize in Chemistry 1967,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",233.0,1927-05-09,Bochum,Germany,Male,Max-Planck-Institut für Physikalische Chemie,Göttingen,Federal Republic of Germany,N/A,N/A,N/A
79,1967,Chemistry,Ronald George Wreyford Norrish,Individual,1/4,The Nobel Prize in Chemistry 1967,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",234.0,1897-11-09,Cambridge,United Kingdom,Male,Institute of Physical Chemistry,Cambridge,United Kingdom,1978-06-07,Cambridge,United Kingdom
80,1967,Chemistry,George Porter,Individual,1/4,The Nobel Prize in Chemistry 1967,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",235.0,1920-12-06,Stainforth,United Kingdom,Male,Royal Institution of Great Britain,London,United Kingdom,2002-08-31,Canterbury,United Kingdom
81,1968,Chemistry,Lars Onsager,Individual,1/1,The Nobel Prize in Chemistry 1968,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes""",236.0,1903-11-27,Kristiania (Oslo),Norway,Male,Yale University,"New Haven, CT",United States of America,1976-10-05,"Coral Gables, FL",United States of America
82,1969,Chemistry,Derek H. R. Barton,Individual,1/2,The Nobel Prize in Chemistry 1969,"""for their contributions to the development of the concept of conformation and its application in chemistry""",237.0,1918-09-08,Gravesend,United Kingdom,Male,Imperial College,London,United Kingdom,1998-03-16,"College Station, TX",United States of America
83,1969,Chemistry,Odd Hassel,Individual,1/2,The Nobel Prize in Chemistry 1969,"""for their contributions to the development of the concept of conformation and its application in chemistry""",238.0,1897-05-17,Kristiania (Oslo),Norway,Male,University of Oslo,Oslo,Norway,1981-05-11,Oslo,Norway
84,1970,Chemistry,Luis F. Leloir,Individual,1/1,The Nobel Prize in Chemistry 1970,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",239.0,1906-09-06,Paris,France,Male,Institute for Biochemical Research,Buenos Aires,Argentina,1987-12-02,Buenos Aires,Argentina
85,1971,Chemistry,Gerhard Herzberg,Individual,1/1,The Nobel Prize in Chemistry 1971,"""for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals""",240.0,1904-12-25,Hamburg,Germany,Male,National Research Council of Canada,Ottawa,Canada,1999-03-03,Ottawa,Canada
86,1972,Chemistry,Christian B. Anfinsen,Individual,1/2,The Nobel Prize in Chemistry 1972,"""for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation""",241.0,1916-03-26,"Monessen, PA",United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America,1995-05-14,"Randallstown, MD",United States of America
87,1972,Chemistry,Stanford Moore,Individual,1/4,The Nobel Prize in Chemistry 1972,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",242.0,1913-09-04,"Chicago, IL",United States of America,Male,Rockefeller University,"New York, NY",United States of America,1982-08-23,"New York, NY",United States of America
88,1972,Chemistry,William H. Stein,Individual,1/4,The Nobel Prize in Chemistry 1972,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",243.0,1911-06-25,"New York, NY",United States of America,Male,Rockefeller University,"New York, NY",United States of America,1980-02-02,"New York, NY",United States of America
89,1973,Chemistry,Ernst Otto Fischer,Individual,1/2,The Nobel Prize in Chemistry 1973,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",244.0,1918-11-10,Munich,Germany,Male,Technical University,Munich,Federal Republic of Germany,2007-07-23,Munich,Germany
90,1973,Chemistry,Geoffrey Wilkinson,Individual,1/2,The Nobel Prize in Chemistry 1973,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",245.0,1921-07-14,Todmorden,United Kingdom,Male,Imperial College,London,United Kingdom,1996-09-26,London,United Kingdom
