english,french,korean,spanish,vietnamese
floor,étage,바닥,piso,sàn
flow,débit,흐름,fluir,chảy
flower,fleur,꽃,flor,hoa
fly,voler,비행,volar,bay
follow,suivre,따라,siga,theo
food,nourriture,음식,alimentos,thực phẩm
foot,pied,발,pie,chân
for,pour,에 대한,para,cho
force,force,힘,fuerza,lực
forest,forêt,숲,bosque,rừng
form,forme,양식,forma,hình thức
forward,avant,앞으로,adelante,về phía trước
found,trouvé,발견,encontrado,tìm thấy
four,quatre,네,cuatro,bốn
fraction,fraction,분수,fracción,phần
free,gratuit,무료,libre,miễn phí
fresh,frais,신선한,fresco,tươi
friend,ami,친구,amigo,người bạn
from,à partir de,부터,desde,từ
front,avant,앞,delante,trước
fruit,fruit,과일,fruta,trái cây
full,plein,전체,completo,đầy đủ
fun,amusement,재미,diversión,vui vẻ
game,jeu,게임,juego,trò chơi
garden,jardin,정원,jardín,vườn
gas,gaz,가스,gas,khí
gather,recueillir,수집,reunir,thu thập
gave,donné,준,dio,đã
general,général,일반,general,chung
gentle,doux,부드러운,suave,nhẹ nhàng
get,obtenir,도착,conseguir,được
girl,fille,소녀,chica,cô gái
give,donner,제공,dar,cung cấp cho
glad,heureux,다행,contento,vui
glass,verre,유리,vidrio,kính
go,aller,이동,ir,đi
gold,or,금,oro,vàng
gone,disparu,사라,se ha ido,ra đi
good,bon,좋은,buena,tốt
got,eu,있어,conseguido,có
govern,gouverner,적용,gobernar,phối
grand,grandiose,그랜드,gran,lớn
grass,herbe,잔디,hierba,cỏ
gray,gris,회색,gris,màu xám
great,grand,큰,gran,tuyệt vời
green,vert,녹색,verde,màu xanh lá cây
grew,a augmenté,성장,creció,tăng
ground,sol,지상,suelo,mặt đất
group,groupe,그룹,grupo,nhóm
grow,croître,성장,crecer,phát triển
guess,deviner,추측,adivinar,đoán
guide,guider,가이드,guiar,hướng dẫn
gun,pistolet,총,pistola,súng
had,eu,했다,tenido,có
hair,cheveux,머리,pelo,lông
half,moitié,반,medio,một nửa
hand,main,손,mano,tay
happen,arriver,일,suceder,xảy ra
happy,heureux,행복,feliz,hạnh phúc
hard,dur,단단한,duro,cứng
has,a,이,tiene,có
hat,chapeau,모자,sombrero,mũ
have,avoir,이,tener,có
he,il,그,él,ông
head,tête,머리,cabeza,đầu
hear,entendre,듣다,escuchar,nghe
heard,entendu,들어,oído,nghe
heart,cœur,마음,corazón,tim
heat,chaleur,열,calor,nhiệt
heavy,lourd,무거운,pesada,nặng
held,en attente,개최,en espera,được tổ chức
help,aider,도움,ayudar,giúp
her,son,그녀의,su,cô
here,ici,여기,aquí,ở đây
high,haut,높은,alto,cao
hill,colline,언덕,colina,đồi
him,lui,그,él,anh
his,son,그의,su,mình
history,histoire,역사,historia,lịch sử
hit,frapper,히트,golpear,nhấn
hold,tenir,개최,mantenga,giư
hole,trou,구멍,agujero,lỗ
home,maison,홈,casa,nhà
hope,espoir,기대,esperanza,hy vọng
horse,cheval,말,caballo,ngựa
hot,chaud,뜨거운,caliente,nóng
hour,heure,시간,horas,giờ
house,maison,집,casa,nhà
how,comment,방법,cómo,như thế nào
huge,énorme,거대한,enorme,to
human,humain,인간,humana,con người
hundred,cent,백,cien,trăm
hunt,chasse,사냥,caza,săn
hurry,se dépêcher,서둘러,prisa,nhanh
i,je,나는,i,tôi
ice,glace,얼음,hielo,băng
idea,idée,아이디어,gusta,ý tưởng
if,si,면,si,nếu
imagine,imaginer,상상,imaginar,tưởng tượng
in,dans,에,en,trong
inch,pouce,인치,pulgadas,inch
include,inclure,포함,incluir,bao gồm
indicate,indiquer,표시,indicar,chỉ ra
industry,industrie,산업,industria,ngành công nghiệp
insect,insecte,곤충,insecto,côn trùng
instant,instant,인스턴트,instantánea,ngay lập tức
instrument,instrument,악기,instrumento,cụ
interest,intérêt,관심,interés,quan tâm
invent,inventer,발명하다,inventar,phát minh
iron,fer,철,hierro,sắt
is,est,이다,es,là
island,île,섬,isla,đảo
it,il,그,lo,nó
job,emploi,작업,trabajo,công việc
join,joindre,가입,unirse,tham gia
joy,joie,즐거움,alegría,niềm vui
jump,sauter,점프,saltar,nhảy
just,juste,단지,sólo,chỉ
keep,garder,유지,mantener,giữ
kept,conservé,유지,guardado,giữ
key,clé,키,clave,chính
kill,tuer,죽,matar,giết
kind,genre,종류,tipo,loại
king,roi,왕,rey,vua
knew,savait,알고,sabía,biết
know,savoir,알고,saber,biết
lady,dame,아가씨,dama,phụ nữ
lake,lac,호수,lago,hồ
land,terre,땅,tierra,đất
language,langue,언어,idioma,ngôn ngữ
large,grand,큰,grande,lớn
last,dernier,마지막,último,cuối cùng
late,tard,후반,tarde,cuối
laugh,rire,웃음,risa,cười
law,droit,법,ley,pháp luật
lay,poser,누워,sentar,đặt
lead,conduire,지도,conducir,dẫn
learn,apprendre,학습,aprender,học
least,moins,이상,menos,nhất
leave,laisser,떠나,dejar,lại
led,led,주도,llevado,dẫn
left,gauche,왼쪽,izquierda,còn lại
leg,jambe,다리,pierna,chân
length,longueur,길이,longitud,chiều dài
less,moins,이하,menos,ít
let,laisser,하자,dejar,cho phép
letter,lettre,편지,carta,thư
level,niveau,수준,nivel,mức
lie,mensonge,거짓말,mentira,lời nói dối
life,vie,생활,vida,cuộc sống
lift,ascenseur,리프트,ascensor,thang máy
light,lumière,빛,luz,ánh sáng
like,comme,같은,como,như
line,ligne,온라인,línea,dòng
liquid,liquide,액체,líquido,chất lỏng
list,liste,표,lista,danh sách
listen,écouter,청취,escuchar,lắng nghe
little,peu,작은,poco,ít
live,vivre,살고있다,vivir,sống
locate,localiser,위치,localizar,xác định vị trí
log,enregistrer,로그인,log,đăng nhập
lone,seul,고독한,solitario,đơn độc
long,long,긴,largo,lâu
look,regarder,봐,buscar,xem
lost,perdu,손실,perdido,thua
lot,lot,많은,mucho,rất nhiều
loud,fort,큰 소리로,fuerte,lớn
love,amour,사랑,amar,tình yêu
low,faible,낮은,bajo,thấp
machine,machine,기계,máquina,máy
made,fabriqué,만든,hecho,thực hiện
magnet,aimant,자석,imán,nam châm
main,principal,주,principal,chính
major,majeur,주요,importante,chính
make,faire,확인,hacer,làm
man,homme,사람,hombre,người đàn ông
many,beaucoup,많은,muchos,nhiều
map,carte,지도,mapa,bản đồ
mark,marque,마르크,marca,đánh dấu
market,marché,시장,mercado,thị trường
mass,masse,질량,masa,khối lượng
master,maître,마스터,master,chủ
match,rencontre,경기,partido,trận đấu
material,matériel,재료,materiales,tài liệu
matter,question,문제,materia,vấn đề
may,peut,수도,puede,có thể
me,moi,나를,me,tôi
mean,signifier,의미,significará,có nghĩa là
meant,signifiait,의미,significado,có nghĩa là
measure,mesurer,측정,medir,đo lường
meat,viande,고기,carne,thịt
meet,se rencontrent,대회,se reúnen,đáp ứng
melody,mélodie,멜로디,melodía,giai điệu
men,hommes,남자,hombres,người đàn ông
metal,métal,금속,de metal,kim loại
method,méthode,방법,método,phương pháp
middle,milieu,중간,medio,trung
might,puissance,수도,podría,might
mile,mile,마일,milla,dặm
milk,lait,우유,leche,sưa
million,million,만,millones,triệu
mind,esprit,마음,mente,tâm
mine,mine,내,mina,tôi
minute,minute,분,minuto,phút
miss,manquer,미스,señorita,bỏ lỡ
mix,mélanger,혼합,mezclar,trộn
modern,moderne,현대,moderno,hiện đại
molecule,molécule,분자,molécula,phân tử
moment,moment,순간,momento,thời điểm
money,argent,돈,dinero,tiền
month,mois,개월,mes,tháng
moon,lune,달,luna,mặt trăng
more,plus,더,más,hơn
morning,matin,아침,mañana,buổi sáng
most,plus,가장,más,nhất
mother,mère,어머니,madre,mẹ
motion,mouvement,모션,movimiento,chuyển động
mount,monture,마운트,monte,mount
mountain,montagne,산,montaña,núi
mouth,bouche,입,boca,miệng
move,déménagement,움직임,movimiento,di chuyển
much,beaucoup,많은,mucho,nhiều
multiply,multiplier,곱,multiplicar,nhân
music,musique,음악,música,nhạc
must,il faut,해야,debe,phải
my,ma,내,mi,của tôi
name,nom,이름,nombre,tên
nation,nation,국민,nación,quốc gia
natural,naturel,자연,naturales,tự nhiên
nature,nature,자연,naturaleza,thiên nhiên
near,près de,가까운,cerca,gần
necessary,nécessaire,필요,necesario,cần thiết
neck,cou,목,cuello,cổ
need,besoin,필요가있다,necesitará,cần
neighbor,voisin,이웃,vecino,hàng xóm
never,jamais,결코,nunca,không bao giờ
new,nouveau,새로운,nuevo,mới
next,suivant,다음,próximo,tiếp theo
night,nuit,밤,noche,đêm
nine,neuf,구,nueve,chín
no,aucun,없음,no,không có
noise,bruit,잡음,ruido,tiếng ồn
noon,midi,정오,mediodía,trưa
nor,ni,도,ni,cũng không
north,nord,북,norte,phía bắc
nose,nez,코,nariz,mui
note,note,주의,nota,ghi
nothing,rien,아무것도,nada,không có gì
notice,avis,예고,aviso,thông báo
noun,nom,명사,sustantivo,danh từ
now,maintenant,지금,ahora,bây giờ
number,nombre,수,número,số
numeral,chiffre,숫자,numeral,chữ số
object,objet,객체,objeto,đối tượng
observe,observer,관찰,observar,quan sát
occur,se produire,발생,producirse,xảy ra
ocean,océan,대양,océano,đại dương
of,de,의,de,của
off,de,오프,fuera,tắt
offer,proposition,제안,oferta,phục vụ
office,bureau,사무실,oficina,văn phòng
often,souvent,자주,menudo,thường
oh,oh,오,oh,oh
oil,huile,기름,aceite,dầu
old,vieux,늙은,viejo,cũ
on,sur,에,en,trên
once,une fois,한 번,una vez,một lần
one,un,일,uno,một
only,seulement,만,sólo,chỉ
open,ouvert,오픈,abierta,mở
operate,fonctionner,운영,operar,hoạt động
opposite,opposé,정반대의,opuesta,ngược lại
or,ou,또는,o,hoặc
order,ordre,주문,orden,để
organ,organe,기관,órgano,cơ quan
original,original,원래,originales,ban đầu
other,autre,다른,otros,khác
our,notre,우리의,nuestro,của chúng tôi
out,dehors,아웃,fuera,ra
over,sur,이상,sobre,hơn
own,propre,자신의,propio,riêng
oxygen,oxygène,산소,oxígeno,oxy
page,page,페이지,página,trang
paint,peindre,페인트,pintar,sơn
pair,paire,쌍,par,đôi
paper,papier,종이,papel,giấy
paragraph,paragraphe,단락,párrafo,đoạn
parent,mère,부모,padre,mẹ
part,partie,일부,parte,một phần
particular,particulier,특히,"particular,",riêng
party,partie,파티,partido,bên
pass,passer,통과,pasar,vượt qua
past,passé,지난,pasado,qua
path,chemin,경로,camino,con đường
pattern,modèle,패턴,patrón,mô hình
pay,payer,지불,pagar,trả
people,personnes,사람들,personas,nhân dân
perhaps,peut-être,어쩌면,quizás,có lẽ
period,période,기간,período,thời gian
person,personne,사람,persona,người
phrase,phrase,문구,frase,cụm từ
pick,choisir,선택,recoger,chọn
picture,image,사진,imagen,hình ảnh
piece,pièce,조각,pieza,mảnh
pitch,pas,피치,pitch,sân
place,lieu,장소,lugar,nơi
plain,plaine,일반,llano,đồng bằng
plan,plan,계획,plan de,kế hoạch
plane,plan,비행기,plano,máy bay
planet,planète,행성,planeta,hành tinh
plant,usine,공장,planta,nhà máy
play,jouer,재생,jugar,chơi
please,s’il vous plaît,제발,por favor,xin vui lòng
plural,pluriel,복수,plurales,số nhiều
poem,poème,시,poema,bài thơ
point,point,포인트,punto,điểm
poor,pauvres,가난한,pobre,người nghèo
populate,peupler,웁니다,poblar,cư
port,port,포트,puerto,cổng
pose,pose,포즈,plantear,đặt ra
position,position,위치,posición,vị trí
possible,possible,가능한,posible,có thể
post,poste,포스트,mensaje,bài
pound,livre,파운드,libra,bảng
power,puissance,힘,potencia,điện
practice,pratique,연습,práctica,thực hành
prepare,préparer,준비,preparar,chuẩn bị
present,présent,현재,presente,hiện nay
press,presse,키를 누릅니다,prensa,báo chí
pretty,assez,꽤,bastante,khá
print,impression,인쇄,print,in
probable,probable,가능성,probable,có thể xảy ra
problem,problème,문제,problema,vấn đề
process,processus,과정,proceso,quá trình
produce,produire,생산,produce,sản xuất
product,produit,제품,producto,sản phẩm
proper,propre,적절한,adecuada,thích hợp
property,propriété,등록,propiedad,tài sản
protect,protéger,보호,proteger,bảo vệ
prove,prouver,증명,demostrar,chứng minh
provide,fournir,제공,proporcionar,cho
pull,tirer,당겨,halar,kéo
push,pousser,푸시,empujar,đẩy
put,mettre,넣어,poner,đặt
quart,litre,쿼트,cuarto de galón,lít
question,question,질문,pregunta,câu hỏi
quick,rapide,빨리,rápido,nhanh chóng
quiet,calme,조용한,tranquila,yên tĩnh
quite,tout à fait,아주,bastante,khá
quotient,quotient,지수,cociente,thương
race,course,레이스,carrera,cuộc đua
radio,radio,라디오,radio,radio
rail,rail,레일,ferrocarril,đường sắt
rain,pluie,비,lluvia,mưa
raise,augmenter,인상,aumentar,nâng cao
ran,ran,실행,corrió,ran
range,gamme,범위,alcance,phạm vi
rather,plutôt,오히려,más bien,thay
reach,atteindre,범위,llegar,đạt
read,lire,읽기,leer,đọc
ready,prêt,준비된,listo,sẵn sàng
real,réel,실제,reales,thực
reason,raison,이유,razón,lý do
receive,recevoir,수신,recibir,nhận
record,record,기록,registro,ghi
red,rouge,빨간색,rojo,màu đỏ
region,région,지역,región,khu
remember,rappeler,기억,recordar,nhớ
repeat,répétition,반복,repita,lặp lại
reply,répondre,응답,responder,trả lời
represent,représenter,대표,representar,đại diện
require,exiger,필요,exigir,yêu cầu
rest,reste,나머지,resto,phần còn lại
result,résultat,결과,resultado,kết quả
rich,riche,풍부한,rica,giàu
ride,tour,타고,paseo,đi xe
right,droit,바로,derecho,ngay
ring,anneau,링,anillo,vòng
rise,augmenter,상승,aumentando,tăng
river,rivière,강,río,sông
road,route,도로,carretera,đường
rock,rock,바위,roca,đá
roll,rouleau,롤,rollo,cuộn
room,chambre,방,habitación,phòng
root,racine,루트,raíz,gốc
rope,corde,로프,cuerda,dây
rose,rose,장미,rosa,tăng
round,tour,둥근,ronda,chung quanh
row,rangée,행,fila,hàng
rub,rub,문지,frotar,chà
rule,règle,규칙,regla,quy tắc
run,courir,실행,ejecutar,chạy
safe,coffre-fort,안전한,seguro,an toàn
said,dit,말했다,dicho,nói
sail,voile,항해,vela,buồm
salt,sel,소금,sal,muối
same,même,동일,misma,như nhau
sand,sable,모래,arena,cát
sat,sat,토,satélite,ngồi
save,sauver,저장,guardar,lưu
saw,scie,톱,sierra,cưa
say,dire,말,decir,nói
scale,échelle,규모,escala,quy mô
school,école,학교,escuela,trường
science,science,과학,ciencia,khoa học
score,score,점수,puntuación,điểm
sea,mer,바다,mar,biển
search,recherche,검색,búsqueda,tìm kiếm
season,saison,시즌,temporada,mùa
seat,siège,좌석,asiento,ghế
second,deuxième,초,segundo,thứ hai
section,section,섹션,sección,phần
see,voir,참조,ver,thấy
seed,semence,씨앗,semilla,hạt giống
seem,paraître,것,parecer,dường như
segment,segment,세그먼트,segmento,phân khúc
select,sélectionner,선택,seleccionar,chọn
self,soi,자기,auto,tự
sell,vendre,판매,vender,bán
send,envoyer,보내,enviar,gửi
sense,sens,의미,sentido,ý nghĩa
sent,expédié,전송,enviado,gửi
sentence,phrase,문장,frase,câu
separate,séparé,별도의,separada,riêng biệt
serve,servir,봉사,servir,phục vụ
set,ensemble,세트,conjunto,bộ
settle,régler,정착,resolver,giải quyết
seven,sept,일곱,siete,bảy
several,plusieurs,여러,varios,nhiều
shall,doit,하여야한다,deberá,có trách nhiệm
shape,forme,모양,forma,hình dạng
share,part,주,cuota,chia sẻ
sharp,net,날카로운,agudo,sắc nét
she,elle,그녀,ella,cô
sheet,feuille,시트,hoja,tờ
shell,coquille,쉘,concha,vỏ
shine,éclat,광택,brillo,tỏa sáng
ship,navire,배,buque,tàu
shoe,chaussure,신발,zapato,giày
shop,boutique,상점,tienda,cửa hàng
shore,rivage,해안,orilla,bờ
short,court,짧은,corto,ngắn
should,devrait,해야,debería,nên
shoulder,épaule,어깨,hombro,vai
shout,cri,소리,grito,hét lên
show,montrer,쇼,show,chương trình
side,côté,측면,lado,bên
sight,vue,시력,vista,cảnh
sign,signe,로그인,signo,dấu hiệu
silent,silencieux,침묵,silencio,im lặng
silver,argent,실버,plata,bạc
similar,similaire,비슷한,similar,tương tự
simple,simple,간단한,sencilla,đơn giản
since,depuis,이후,desde,từ
sing,chanter,노래,cantar,hát
single,unique,단일,sola,đơn
sister,sœur,자매,hermana,em gái
sit,s’asseoir,앉아,sentarse,ngồi
six,six,육,seis,sáu
size,taille,크기,tamaño,kích thước
skill,compétence,기술,habilidad,kỹ năng
skin,peau,피부,piel,da
sky,ciel,하늘,cielo,bầu trời
slave,esclave,슬레이브,esclavo,nô lệ
sleep,sommeil,잠,sueño,ngủ
slip,glissement,슬립,deslizamiento,trượt
slow,lent,느린,lenta,chậm
small,petit,작은,pequeño,nhỏ
smell,odeur,냄새,olor,mùi
smile,sourire,미소,sonrisa,nụ cười
snow,neige,눈,nieve,tuyết
so,si,그래서,así,để
soft,doux,소프트,suave,mềm
soil,sol,토양,suelo,đất
