Year,Category,Full Name,Motivation,Laureate Type,Prize Share,Prize,Laureate ID,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country
1935,Chemistry,Frédéric Joliot,"""in recognition of their synthesis of new radioactive elements""",Individual,1/2,The Nobel Prize in Chemistry 1935,193.0,1900-03-19,Paris,France,Male,Institut du Radium,Paris,France,1958-08-14,Paris,France
1935,Chemistry,Irène Joliot-Curie,"""in recognition of their synthesis of new radioactive elements""",Individual,1/2,The Nobel Prize in Chemistry 1935,194.0,1897-09-12,Paris,France,Female,Institut du Radium,Paris,France,1956-03-17,Paris,France
1936,Chemistry,Petrus (Peter) Josephus Wilhelmus Debye,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",Individual,1/1,The Nobel Prize in Chemistry 1936,195.0,1884-03-24,Maastricht,Netherlands,Male,Berlin University,Berlin,Germany,1966-11-02,"Ithaca, NY",United States of America
1936,Chemistry,Petrus (Peter) Josephus Wilhelmus Debye,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",Individual,1/1,The Nobel Prize in Chemistry 1936,195.0,1884-03-24,Maastricht,Netherlands,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,1966-11-02,"Ithaca, NY",United States of America
1937,Chemistry,Walter Norman Haworth,"""for his investigations on carbohydrates and vitamin C""",Individual,1/2,The Nobel Prize in Chemistry 1937,196.0,1883-03-19,Chorley,United Kingdom,Male,Birmingham University,Birmingham,United Kingdom,1950-03-19,Birmingham,United Kingdom
1937,Chemistry,Paul Karrer,"""for his investigations on carotenoids, flavins and vitamins A and B2""",Individual,1/2,The Nobel Prize in Chemistry 1937,197.0,1889-04-21,Moscow,Russia,Male,University of Zurich,Zurich,Switzerland,1971-06-18,Zurich,Switzerland
1938,Chemistry,Richard Kuhn,"""for his work on carotenoids and vitamins""",Individual,1/1,The Nobel Prize in Chemistry 1938,198.0,1900-12-03,Vienna,Austria-Hungary (Austria),Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Heidelberg,Germany,1967-07-31,Heidelberg,West Germany (Germany)
1938,Chemistry,Richard Kuhn,"""for his work on carotenoids and vitamins""",Individual,1/1,The Nobel Prize in Chemistry 1938,198.0,1900-12-03,Vienna,Austria-Hungary (Austria),Male,University of Heidelberg,Heidelberg,Germany,1967-07-31,Heidelberg,West Germany (Germany)
1939,Chemistry,Adolf Friedrich Johann Butenandt,"""for his work on sex hormones""",Individual,1/2,The Nobel Prize in Chemistry 1939,199.0,1903-03-24,Bremerhaven-Lehe,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,1995-01-18,Munich,Germany
1939,Chemistry,Adolf Friedrich Johann Butenandt,"""for his work on sex hormones""",Individual,1/2,The Nobel Prize in Chemistry 1939,199.0,1903-03-24,Bremerhaven-Lehe,Germany,Male,Berlin University,Berlin,Germany,1995-01-18,Munich,Germany
1939,Chemistry,Leopold Ruzicka,"""for his work on polymethylenes and higher terpenes""",Individual,1/2,The Nobel Prize in Chemistry 1939,200.0,1887-09-13,Vukovar,Austria-Hungary (Croatia),Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,1976-09-26,Zurich,Switzerland
1943,Chemistry,George de Hevesy,"""for his work on the use of isotopes as tracers in the study of chemical processes""",Individual,1/1,The Nobel Prize in Chemistry 1943,201.0,1885-08-01,Budapest,Austria-Hungary (Hungary),Male,Stockholm University,Stockholm,Sweden,1966-07-05,Freiburg im Breisgau,West Germany (Germany)
1944,Chemistry,Otto Hahn,"""for his discovery of the fission of heavy nuclei""",Individual,1/1,The Nobel Prize in Chemistry 1944,202.0,1879-03-08,Frankfurt-on-the-Main,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,1968-07-28,Göttingen,West Germany (Germany)
1945,Chemistry,Artturi Ilmari Virtanen,"""for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method""",Individual,1/1,The Nobel Prize in Chemistry 1945,203.0,1895-01-15,Helsinki,Russian Empire (Finland),Male,University of Helsinki,Helsinki,Finland,1973-11-11,Helsinki,Finland
1946,Chemistry,James Batcheller Sumner,"""for his discovery that enzymes can be crystallized""",Individual,1/2,The Nobel Prize in Chemistry 1946,204.0,1887-11-19,"Canton, MA",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,1955-08-12,"Buffalo, NY",United States of America
1946,Chemistry,John Howard Northrop,"""for their preparation of enzymes and virus proteins in a pure form""",Individual,1/4,The Nobel Prize in Chemistry 1946,205.0,1891-07-05,"Yonkers, NY",United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America,1987-05-27,"Wickenberg, AZ",United States of America
1946,Chemistry,Wendell Meredith Stanley,"""for their preparation of enzymes and virus proteins in a pure form""",Individual,1/4,The Nobel Prize in Chemistry 1946,206.0,1904-08-16,"Ridgeville, IN",United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America,1971-06-15,Salamanca,Spain
1947,Chemistry,Sir Robert Robinson,"""for his investigations on plant products of biological importance, especially the alkaloids""",Individual,1/1,The Nobel Prize in Chemistry 1947,207.0,1886-09-13,"Rufford, near Chesterfield",United Kingdom,Male,University of Oxford,Oxford,United Kingdom,1975-02-08,Great Missenden,United Kingdom
1948,Chemistry,Arne Wilhelm Kaurin Tiselius,"""for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins""",Individual,1/1,The Nobel Prize in Chemistry 1948,208.0,1902-08-10,Stockholm,Sweden,Male,Uppsala University,Uppsala,Sweden,1971-10-29,Uppsala,Sweden
1949,Chemistry,William Francis Giauque,"""for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures""",Individual,1/1,The Nobel Prize in Chemistry 1949,209.0,1895-05-12,Niagara Falls,Canada,Male,University of California,"Berkeley, CA",United States of America,1982-03-28,"Berkeley, CA",United States of America
1950,Chemistry,Otto Paul Hermann Diels,"""for their discovery and development of the diene synthesis""",Individual,1/2,The Nobel Prize in Chemistry 1950,210.0,1876-01-23,Hamburg,Germany,Male,Kiel University,Kiel,Federal Republic of Germany,1954-03-07,Kiel,West Germany (Germany)
1950,Chemistry,Kurt Alder,"""for their discovery and development of the diene synthesis""",Individual,1/2,The Nobel Prize in Chemistry 1950,211.0,1902-07-10,Königshütte (Chorzów),Prussia (Poland),Male,Cologne University,Cologne,Federal Republic of Germany,1958-06-20,Cologne,West Germany (Germany)
1951,Chemistry,Edwin Mattison McMillan,"""for their discoveries in the chemistry of the transuranium elements""",Individual,1/2,The Nobel Prize in Chemistry 1951,212.0,1907-09-18,"Redondo Beach, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America,1991-09-07,"El Cerrito, CA",United States of America
1951,Chemistry,Glenn Theodore Seaborg,"""for their discoveries in the chemistry of the transuranium elements""",Individual,1/2,The Nobel Prize in Chemistry 1951,213.0,1912-04-19,"Ishpeming, MI",United States of America,Male,University of California,"Berkeley, CA",United States of America,1999-02-25,"Lafayette, CA",United States of America
1952,Chemistry,Archer John Porter Martin,"""for their invention of partition chromatography""",Individual,1/2,The Nobel Prize in Chemistry 1952,214.0,1910-03-01,London,United Kingdom,Male,National Institute for Medical Research,London,United Kingdom,2002-07-28,Llangarron,United Kingdom
1952,Chemistry,Richard Laurence Millington Synge,"""for their invention of partition chromatography""",Individual,1/2,The Nobel Prize in Chemistry 1952,215.0,1914-10-28,Liverpool,United Kingdom,Male,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,1994-08-18,Norwich,United Kingdom
1953,Chemistry,Hermann Staudinger,"""for his discoveries in the field of macromolecular chemistry""",Individual,1/1,The Nobel Prize in Chemistry 1953,216.0,1881-03-23,Worms,Germany,Male,University of Freiburg,Breisgau,Federal Republic of Germany,1965-09-08,Freiburg im Breisgau,West Germany (Germany)
1953,Chemistry,Hermann Staudinger,"""for his discoveries in the field of macromolecular chemistry""",Individual,1/1,The Nobel Prize in Chemistry 1953,216.0,1881-03-23,Worms,Germany,Male,"Staatliches Institut für makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg",Breisgau,Federal Republic of Germany,1965-09-08,Freiburg im Breisgau,West Germany (Germany)
1954,Chemistry,Linus Carl Pauling,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",Individual,1/1,The Nobel Prize in Chemistry 1954,217.0,1901-02-28,"Portland, OR",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1994-08-19,"Big Sur, CA",United States of America
1955,Chemistry,Vincent du Vigneaud,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""",Individual,1/1,The Nobel Prize in Chemistry 1955,218.0,1901-05-18,"Chicago, IL",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,1978-12-11,"White Plains, NY",United States of America
1956,Chemistry,Sir Cyril Norman Hinshelwood,"""for their researches into the mechanism of chemical reactions""",Individual,1/2,The Nobel Prize in Chemistry 1956,219.0,1897-05-19,London,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,1967-10-09,London,United Kingdom
1956,Chemistry,Nikolay Nikolaevich Semenov,"""for their researches into the mechanism of chemical reactions""",Individual,1/2,The Nobel Prize in Chemistry 1956,220.0,1896-04-03,Saratov,Russia,Male,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,Union of Soviet Socialist Republics,1986-09-25,Moscow,Union of Soviet Socialist Republics
1957,Chemistry,Lord (Alexander R.) Todd,"""for his work on nucleotides and nucleotide co-enzymes""",Individual,1/1,The Nobel Prize in Chemistry 1957,221.0,1907-10-02,Glasgow,Scotland,Male,University of Cambridge,Cambridge,United Kingdom,1997-01-10,Cambridge,United Kingdom
1958,Chemistry,Frederick Sanger,"""for his work on the structure of proteins, especially that of insulin""",Individual,1/1,The Nobel Prize in Chemistry 1958,222.0,1918-08-13,Rendcombe,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,2013-11-19,Cambridge,United Kingdom
1959,Chemistry,Jaroslav Heyrovsky,"""for his discovery and development of the polarographic methods of analysis""",Individual,1/1,The Nobel Prize in Chemistry 1959,223.0,1890-12-20,Prague,Austria-Hungary (Czech Republic),Male,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia,1967-03-27,Prague,Czechoslovakia
1960,Chemistry,Willard Frank Libby,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science""",Individual,1/1,The Nobel Prize in Chemistry 1960,224.0,1908-12-17,"Grand Valley, CO",United States of America,Male,University of California,"Los Angeles, CA",United States of America,1980-09-08,"Los Angeles, CA",United States of America
1961,Chemistry,Melvin Calvin,"""for his research on the carbon dioxide assimilation in plants""",Individual,1/1,The Nobel Prize in Chemistry 1961,225.0,1911-04-08,"St. Paul, MN",United States of America,Male,University of California,"Berkeley, CA",United States of America,1997-01-08,"Berkeley, CA",United States of America
1962,Chemistry,Max Ferdinand Perutz,"""for their studies of the structures of globular proteins""",Individual,1/2,The Nobel Prize in Chemistry 1962,226.0,1914-05-19,Vienna,Austria,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2002-02-06,Cambridge,United Kingdom
1962,Chemistry,John Cowdery Kendrew,"""for their studies of the structures of globular proteins""",Individual,1/2,The Nobel Prize in Chemistry 1962,227.0,1917-03-24,Oxford,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1997-08-23,Cambridge,United Kingdom
1963,Chemistry,Karl Ziegler,"""for their discoveries in the field of the chemistry and technology of high polymers""",Individual,1/2,The Nobel Prize in Chemistry 1963,228.0,1898-11-26,Helsa,Germany,Male,Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Federal Republic of Germany,1973-08-12,Mülheim,West Germany (Germany)
1963,Chemistry,Giulio Natta,"""for their discoveries in the field of the chemistry and technology of high polymers""",Individual,1/2,The Nobel Prize in Chemistry 1963,229.0,1903-02-26,Imperia,Italy,Male,Institute of Technology,Milan,Italy,1979-05-02,Bergamo,Italy
1964,Chemistry,Dorothy Crowfoot Hodgkin,"""for her determinations by X-ray techniques of the structures of important biochemical substances""",Individual,1/1,The Nobel Prize in Chemistry 1964,230.0,1910-05-12,Cairo,Egypt,Female,"University of Oxford, Royal Society",Oxford,United Kingdom,1994-07-29,Shipston-on-Stour,United Kingdom
1965,Chemistry,Robert Burns Woodward,"""for his outstanding achievements in the art of organic synthesis""",Individual,1/1,The Nobel Prize in Chemistry 1965,231.0,1917-04-10,"Boston, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1979-07-08,"Cambridge, MA",United States of America
1966,Chemistry,Robert S. Mulliken,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",Individual,1/1,The Nobel Prize in Chemistry 1966,232.0,1896-06-07,"Newburyport, MA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,1986-10-31,"Arlington, VA",United States of America
1967,Chemistry,Manfred Eigen,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",Individual,1/2,The Nobel Prize in Chemistry 1967,233.0,1927-05-09,Bochum,Germany,Male,Max-Planck-Institut für Physikalische Chemie,Göttingen,Federal Republic of Germany,,,
1967,Chemistry,Ronald George Wreyford Norrish,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",Individual,1/4,The Nobel Prize in Chemistry 1967,234.0,1897-11-09,Cambridge,United Kingdom,Male,Institute of Physical Chemistry,Cambridge,United Kingdom,1978-06-07,Cambridge,United Kingdom
1967,Chemistry,George Porter,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",Individual,1/4,The Nobel Prize in Chemistry 1967,235.0,1920-12-06,Stainforth,United Kingdom,Male,Royal Institution of Great Britain,London,United Kingdom,2002-08-31,Canterbury,United Kingdom
1968,Chemistry,Lars Onsager,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes""",Individual,1/1,The Nobel Prize in Chemistry 1968,236.0,1903-11-27,Kristiania (Oslo),Norway,Male,Yale University,"New Haven, CT",United States of America,1976-10-05,"Coral Gables, FL",United States of America
1969,Chemistry,Derek H. R. Barton,"""for their contributions to the development of the concept of conformation and its application in chemistry""",Individual,1/2,The Nobel Prize in Chemistry 1969,237.0,1918-09-08,Gravesend,United Kingdom,Male,Imperial College,London,United Kingdom,1998-03-16,"College Station, TX",United States of America
1969,Chemistry,Odd Hassel,"""for their contributions to the development of the concept of conformation and its application in chemistry""",Individual,1/2,The Nobel Prize in Chemistry 1969,238.0,1897-05-17,Kristiania (Oslo),Norway,Male,University of Oslo,Oslo,Norway,1981-05-11,Oslo,Norway
1970,Chemistry,Luis F. Leloir,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",Individual,1/1,The Nobel Prize in Chemistry 1970,239.0,1906-09-06,Paris,France,Male,Institute for Biochemical Research,Buenos Aires,Argentina,1987-12-02,Buenos Aires,Argentina
1971,Chemistry,Gerhard Herzberg,"""for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals""",Individual,1/1,The Nobel Prize in Chemistry 1971,240.0,1904-12-25,Hamburg,Germany,Male,National Research Council of Canada,Ottawa,Canada,1999-03-03,Ottawa,Canada
1972,Chemistry,Christian B. Anfinsen,"""for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation""",Individual,1/2,The Nobel Prize in Chemistry 1972,241.0,1916-03-26,"Monessen, PA",United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America,1995-05-14,"Randallstown, MD",United States of America
1972,Chemistry,Stanford Moore,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",Individual,1/4,The Nobel Prize in Chemistry 1972,242.0,1913-09-04,"Chicago, IL",United States of America,Male,Rockefeller University,"New York, NY",United States of America,1982-08-23,"New York, NY",United States of America
1972,Chemistry,William H. Stein,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",Individual,1/4,The Nobel Prize in Chemistry 1972,243.0,1911-06-25,"New York, NY",United States of America,Male,Rockefeller University,"New York, NY",United States of America,1980-02-02,"New York, NY",United States of America
1973,Chemistry,Ernst Otto Fischer,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",Individual,1/2,The Nobel Prize in Chemistry 1973,244.0,1918-11-10,Munich,Germany,Male,Technical University,Munich,Federal Republic of Germany,2007-07-23,Munich,Germany
1973,Chemistry,Geoffrey Wilkinson,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",Individual,1/2,The Nobel Prize in Chemistry 1973,245.0,1921-07-14,Todmorden,United Kingdom,Male,Imperial College,London,United Kingdom,1996-09-26,London,United Kingdom
1974,Chemistry,Paul J. Flory,"""for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules""",Individual,1/1,The Nobel Prize in Chemistry 1974,246.0,1910-06-19,"Sterling, IL",United States of America,Male,Stanford University,"Stanford, CA",United States of America,1985-09-08,"Big Sur, CA",United States of America
1975,Chemistry,John Warcup Cornforth,"""for his work on the stereochemistry of enzyme-catalyzed reactions""",Individual,1/2,The Nobel Prize in Chemistry 1975,247.0,1917-09-07,Sydney,Australia,Male,University of Sussex,Brighton,United Kingdom,2013-12-08,,
