organization_code,organization,country_code,country,accession,withdrawal
AU,African Union,CMR,Cameroon,,
AU,African Union,CPV,Cape Verde,,
AU,African Union,CAF,Central Africa Republic,,
AU,African Union,TCD,Chad,,
AU,African Union,COM,Comoros,,
AU,African Union,COD,Congo,,
AU,African Union,COG,DR Congo,,
AU,African Union,DJI,Djibouti,,
AU,African Union,EGY,Egypt,,
AU,African Union,GNQ,Equatorial Guinea,,
AU,African Union,ERI,Eritrea,,
AU,African Union,SWZ,Eswatini,,
AU,African Union,ETH,Ethiopia,,
AU,African Union,GAB,Gabon,,
AU,African Union,GMB,Gambia,,
AU,African Union,GHA,Ghana,,
AU,African Union,GIN,Guinea,,
AU,African Union,GNB,Guinea-Bissau,,
AU,African Union,CIV,Ivory Coast,,
AU,African Union,KEN,Kenya,,
AU,African Union,LSO,Lesotho,,
AU,African Union,LBR,Liberia,,
AU,African Union,LBY,Libya,,
AU,African Union,MDG,Madagascar,,
AU,African Union,MWI,Malawi,,
AU,African Union,MLI,Mali,,
AU,African Union,MRT,Mauritania,,
AU,African Union,MUS,Mauritius,,
AU,African Union,MAR,Morocco,,
AU,African Union,MOZ,Mozambique,,
AU,African Union,NAM,Namibia,,
AU,African Union,NER,Niger,,
AU,African Union,NGA,Nigeria,,
AU,African Union,RWA,Rwanda,,
AU,African Union,STP,Sao Tome and Principe,,
AU,African Union,SEN,Senegal,,
AU,African Union,SYC,Seychelles,,
AU,African Union,SLE,Sierra Leone,,
AU,African Union,SOM,Somalia,,
AU,African Union,ZAF,South Africa,,
AU,African Union,SSD,South Sudan,,
AU,African Union,SDN,Sudan,,
AU,African Union,TZA,Tanzania,,
AU,African Union,TGO,Togo,,
AU,African Union,TUN,Tunisia,,
AU,African Union,UGA,Uganda,,
AU,African Union,ESH,Western Sahara,,
AU,African Union,ZMB,Zambia,,
AU,African Union,ZWE,Zimbabwe,,
CELAC,Community of Latin American and Caribbean States,ATG,Antigua and Barbuda,,
CELAC,Community of Latin American and Caribbean States,ARG,Argentina,,
CELAC,Community of Latin American and Caribbean States,BHS,Bahamas,,
CELAC,Community of Latin American and Caribbean States,BRB,Barbados,,
CELAC,Community of Latin American and Caribbean States,BLZ,Belize,,
CELAC,Community of Latin American and Caribbean States,BOL,Bolivia,,
CELAC,Community of Latin American and Caribbean States,BRA,Brazil,,
CELAC,Community of Latin American and Caribbean States,CHL,Chile,,
CELAC,Community of Latin American and Caribbean States,COL,Colombia,,
CELAC,Community of Latin American and Caribbean States,CRI,Costa Rica,,
CELAC,Community of Latin American and Caribbean States,CUB,Cuba,,
CELAC,Community of Latin American and Caribbean States,DMA,Dominica,,
CELAC,Community of Latin American and Caribbean States,DOM,Dominican Republic,,
CELAC,Community of Latin American and Caribbean States,ECU,Ecuador,,
CELAC,Community of Latin American and Caribbean States,SLV,El Salvador,,
CELAC,Community of Latin American and Caribbean States,GRD,Grenada,,
CELAC,Community of Latin American and Caribbean States,GTM,Guatemala,,
CELAC,Community of Latin American and Caribbean States,GUY,Guyana,,
CELAC,Community of Latin American and Caribbean States,HTI,Haiti,,
CELAC,Community of Latin American and Caribbean States,HND,Honduras,,
CELAC,Community of Latin American and Caribbean States,JAM,Jamaica,,
CELAC,Community of Latin American and Caribbean States,MEX,Mexico,,
CELAC,Community of Latin American and Caribbean States,NIC,Nicaragua,,
CELAC,Community of Latin American and Caribbean States,PAN,Panama,,
CELAC,Community of Latin American and Caribbean States,PRY,Paraguay,,
CELAC,Community of Latin American and Caribbean States,PER,Peru,,
CELAC,Community of Latin American and Caribbean States,KNA,Saint Kitts and Nevis,,
CELAC,Community of Latin American and Caribbean States,LCA,Saint Lucia,,
CELAC,Community of Latin American and Caribbean States,VCT,Saint Vincent and the Grenadines,,
CELAC,Community of Latin American and Caribbean States,SUR,Suriname,,
CELAC,Community of Latin American and Caribbean States,TTO,Trinidad and Tobago,,
CELAC,Community of Latin American and Caribbean States,URY,Uruguay,,
CELAC,Community of Latin American and Caribbean States,VEN,Venezuela,,
CIS,Commonwealth of Independent States,ARM,Armenia,,
CIS,Commonwealth of Independent States,AZE,Azerbaijan,,
CIS,Commonwealth of Independent States,BLR,Belarus,,
CIS,Commonwealth of Independent States,KAZ,Kazakhstan,,
CIS,Commonwealth of Independent States,KGZ,Kyrgyzstan,,
CIS,Commonwealth of Independent States,MDA,Moldova,,
CIS,Commonwealth of Independent States,RUS,Russia,,
CIS,Commonwealth of Independent States,TJK,Tajikistan,,
CIS,Commonwealth of Independent States,UZB,Uzbekistan,,
CMW,Commonwealth of Nations,ATG,Antigua and Barbuda,,
CMW,Commonwealth of Nations,AUS,Australia,,
CMW,Commonwealth of Nations,BHS,Bahamas,,
CMW,Commonwealth of Nations,BGD,Bangladesh,,
CMW,Commonwealth of Nations,BRB,Barbados,,
CMW,Commonwealth of Nations,BLZ,Belize,,
CMW,Commonwealth of Nations,BWA,Botswana,,
CMW,Commonwealth of Nations,BRN,Brunei,,
CMW,Commonwealth of Nations,CMR,Cameroon,,
CMW,Commonwealth of Nations,CAN,Canada,,
CMW,Commonwealth of Nations,CYP,Cyprus,,
CMW,Commonwealth of Nations,DMA,Dominica,,
CMW,Commonwealth of Nations,SWZ,Eswatini,,
CMW,Commonwealth of Nations,FJI,Fiji,,
CMW,Commonwealth of Nations,GAB,Gabon,,
CMW,Commonwealth of Nations,GMB,Gambia,,
CMW,Commonwealth of Nations,GHA,Ghana,,
CMW,Commonwealth of Nations,GRD,Grenada,,
CMW,Commonwealth of Nations,GUY,Guyana,,
CMW,Commonwealth of Nations,IND,India,,
CMW,Commonwealth of Nations,JAM,Jamaica,,
CMW,Commonwealth of Nations,KEN,Kenya,,
CMW,Commonwealth of Nations,KIR,Kiribati,,
CMW,Commonwealth of Nations,LSO,Lesotho,,
CMW,Commonwealth of Nations,MWI,Malawi,,
CMW,Commonwealth of Nations,MYS,Malaysia,,
CMW,Commonwealth of Nations,MDV,Maldives,,
CMW,Commonwealth of Nations,MLT,Malta,,
CMW,Commonwealth of Nations,MUS,Mauritius,,
CMW,Commonwealth of Nations,MOZ,Mozambique,,
CMW,Commonwealth of Nations,NAM,Namibia,,
CMW,Commonwealth of Nations,NRU,Nauru,,
CMW,Commonwealth of Nations,NZL,New Zealand,,
CMW,Commonwealth of Nations,NGA,Nigeria,,
CMW,Commonwealth of Nations,PAK,Pakistan,,
CMW,Commonwealth of Nations,PNG,Papua New Guinea,,
CMW,Commonwealth of Nations,RWA,Rwanda,,
CMW,Commonwealth of Nations,KNA,Saint Kitts and Nevis,,
CMW,Commonwealth of Nations,LCA,Saint Lucia,,
CMW,Commonwealth of Nations,VCT,Saint Vincent and the Grenadines,,
CMW,Commonwealth of Nations,WSM,Samoa,,
CMW,Commonwealth of Nations,SYC,Seychelles,,
CMW,Commonwealth of Nations,SLE,Sierra Leone,,
CMW,Commonwealth of Nations,SGP,Singapore,,
CMW,Commonwealth of Nations,SLB,Solomon Islands,,
CMW,Commonwealth of Nations,ZAF,South Africa,,
CMW,Commonwealth of Nations,LKA,Sri Lanka,,
CMW,Commonwealth of Nations,TZA,Tanzania,,
CMW,Commonwealth of Nations,TGO,Togo,,
CMW,Commonwealth of Nations,TON,Tonga,,
CMW,Commonwealth of Nations,TTO,Trinidad and Tobago,,
CMW,Commonwealth of Nations,TUV,Tuvalu,,
CMW,Commonwealth of Nations,UGA,Uganda,,
CMW,Commonwealth of Nations,GBR,United Kingdom,,
CMW,Commonwealth of Nations,VUT,Vanuatu,,
CMW,Commonwealth of Nations,ZMB,Zambia,,
COE,Council of Europe,ALB,Albania,,
COE,Council of Europe,AND,Andorra,,
COE,Council of Europe,ARM,Armenia,,
COE,Council of Europe,AUT,Austria,,
COE,Council of Europe,AZE,Azerbaijan,,
COE,Council of Europe,BEL,Belgium,,
COE,Council of Europe,BIH,Bosnia and Herzegovina,,
COE,Council of Europe,BGR,Bulgaria,,
COE,Council of Europe,HRV,Croatia,,
COE,Council of Europe,CYP,Cyprus,,
COE,Council of Europe,CZE,Czech Republic,,
COE,Council of Europe,DNK,Denmark,,
COE,Council of Europe,EST,Estonia,,
COE,Council of Europe,FIN,Finland,,
COE,Council of Europe,FRA,France,,
COE,Council of Europe,GEO,Georgia,,
COE,Council of Europe,DEU,Germany,,
COE,Council of Europe,GRC,Greece,,
COE,Council of Europe,HUN,Hungary,,
COE,Council of Europe,ISL,Iceland,,
COE,Council of Europe,IRL,Ireland,,
COE,Council of Europe,ITA,Italy,,
COE,Council of Europe,LVA,Latvia,,
COE,Council of Europe,LIE,Liechtenstein,,
COE,Council of Europe,LTU,Lithuania,,
COE,Council of Europe,LUX,Luxembourg,,
COE,Council of Europe,MLT,Malta,,
COE,Council of Europe,MDA,Moldova,,
COE,Council of Europe,MCO,Monaco,,
COE,Council of Europe,MNE,Montenegro,,
COE,Council of Europe,NLD,Netherlands,,
COE,Council of Europe,MKD,North Macedonia,,
COE,Council of Europe,NOR,Norway,,
COE,Council of Europe,POL,Poland,,
COE,Council of Europe,PRT,Portugal,,
COE,Council of Europe,ROU,Romania,,
COE,Council of Europe,SMR,San Marino,,
COE,Council of Europe,SRB,Serbia,,
COE,Council of Europe,SVK,Slovakia,,
COE,Council of Europe,SVN,Slovenia,,
COE,Council of Europe,ESP,Spain,,
COE,Council of Europe,SWE,Sweden,,
COE,Council of Europe,CHE,Switzerland,,
COE,Council of Europe,TUR,Turkey,,
COE,Council of Europe,UKR,Ukraine,,
COE,Council of Europe,GBR,United Kingdom,,
COFA,Compact of Free Association,MHL,Marshall Islands,,
COFA,Compact of Free Association,FSM,Micronesia,,
COFA,Compact of Free Association,PLW,Palau,,
COFA,Compact of Free Association,USA,United States,,
EU,European Union,DNK,Denmark,1973-01-01,
EU,European Union,IRL,Ireland,1973-01-01,
EU,European Union,GBR,United Kingdom,1973-01-01,2021-01-01
EU,European Union,GRC,Greece,1981-01-01,
EU,European Union,PRT,Portugal,1986-01-01,
EU,European Union,ESP,Spain,1986-01-01,
EU,European Union,AUT,Austria,1995-01-01,
EU,European Union,FIN,Finland,1995-01-01,
EU,European Union,SWE,Sweden,1995-01-01,
EU,European Union,CYP,Cyprus,2004-05-01,
EU,European Union,CZE,Czech Republic,2004-05-01,
EU,European Union,EST,Estonia,2004-05-01,
EU,European Union,HUN,Hungary,2004-05-01,
EU,European Union,LVA,Latvia,2004-05-01,
EU,European Union,LTU,Lithuania,2004-05-01,
EU,European Union,MLT,Malta,2004-05-01,
EU,European Union,POL,Poland,2004-05-01,
EU,European Union,SVK,Slovakia,2004-05-01,
EU,European Union,SVN,Slovenia,2004-05-01,
EU,European Union,BGR,Bulgaria,2007-01-01,
EU,European Union,ROU,Romania,2007-01-01,
EU,European Union,HRV,Croatia,2013-07-01,
EU,European Union,BEL,Belgium,1958-01-01,
EU,European Union,FRA,France,1958-01-01,
EU,European Union,DEU,Germany,1958-01-01,
EU,European Union,ITA,Italy,1958-01-01,
EU,European Union,LUX,Luxembourg,1958-01-01,
EU,European Union,NLD,Netherlands,1958-01-01,
NATO,North Atlantic Treaty Organization,ALB,Albania,,
NATO,North Atlantic Treaty Organization,BEL,Belgium,,
NATO,North Atlantic Treaty Organization,BGR,Bulgaria,,
NATO,North Atlantic Treaty Organization,CAN,Canada,,
NATO,North Atlantic Treaty Organization,HRV,Croatia,,
NATO,North Atlantic Treaty Organization,CZE,Czech Republic,,
NATO,North Atlantic Treaty Organization,DNK,Denmark,,
NATO,North Atlantic Treaty Organization,EST,Estonia,,
NATO,North Atlantic Treaty Organization,FIN,Finland,,
NATO,North Atlantic Treaty Organization,FRA,France,,
NATO,North Atlantic Treaty Organization,DEU,Germany,,
NATO,North Atlantic Treaty Organization,GRC,Greece,,
NATO,North Atlantic Treaty Organization,HUN,Hungary,,
NATO,North Atlantic Treaty Organization,ISL,Iceland,,
NATO,North Atlantic Treaty Organization,ITA,Italy,,
NATO,North Atlantic Treaty Organization,LVA,Latvia,,
NATO,North Atlantic Treaty Organization,LTU,Lithuania,,
NATO,North Atlantic Treaty Organization,LUX,Luxembourg,,
NATO,North Atlantic Treaty Organization,MNE,Montenegro,,
NATO,North Atlantic Treaty Organization,NLD,Netherlands,,
NATO,North Atlantic Treaty Organization,MKD,North Macedonia,,
NATO,North Atlantic Treaty Organization,NOR,Norway,,
NATO,North Atlantic Treaty Organization,POL,Poland,,
NATO,North Atlantic Treaty Organization,PRT,Portugal,,
NATO,North Atlantic Treaty Organization,ROU,Romania,,
NATO,North Atlantic Treaty Organization,SVK,Slovakia,,
NATO,North Atlantic Treaty Organization,SVN,Slovenia,,
NATO,North Atlantic Treaty Organization,ESP,Spain,,
NATO,North Atlantic Treaty Organization,TUR,Turkey,,
NATO,North Atlantic Treaty Organization,GBR,United Kingdom,,
NATO,North Atlantic Treaty Organization,USA,United States,,
OPEC,Organisation of the Petroleum Exporting Countries,DZA,Algeria,,
OPEC,Organisation of the Petroleum Exporting Countries,AGO,Angola,,
OPEC,Organisation of the Petroleum Exporting Countries,GNQ,Equatorial Guinea,,
OPEC,Organisation of the Petroleum Exporting Countries,GAB,Gabon,,
OPEC,Organisation of the Petroleum Exporting Countries,IRN,Iran,,
OPEC,Organisation of the Petroleum Exporting Countries,IRQ,Iraq,,
OPEC,Organisation of the Petroleum Exporting Countries,KWT,Kuwait,,
OPEC,Organisation of the Petroleum Exporting Countries,LBY,Libya,,
OPEC,Organisation of the Petroleum Exporting Countries,NGA,Nigeria,,
OPEC,Organisation of the Petroleum Exporting Countries,COG,Republic of the Congo,,
OPEC,Organisation of the Petroleum Exporting Countries,SAU,Saudi Arabia,,
OPEC,Organisation of the Petroleum Exporting Countries,ARE,United Arab Emirates,,
OPEC,Organisation of the Petroleum Exporting Countries,VEN,Venezuela,,
SAARC,South Asian Association for Regional Cooperation,AFG,Afghanistan,,
SAARC,South Asian Association for Regional Cooperation,BGD,Bangladesh,,
SAARC,South Asian Association for Regional Cooperation,BTN,Bhutan,,
SAARC,South Asian Association for Regional Cooperation,IND,India,,
SAARC,South Asian Association for Regional Cooperation,MDV,Maldives,,
SAARC,South Asian Association for Regional Cooperation,NPL,Nepal,,
SAARC,South Asian Association for Regional Cooperation,PAK,Pakistan,,
SAARC,South Asian Association for Regional Cooperation,LKA,Sri Lanka,,
